group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-15	Chow	faith_pd	20	20	1.1615167722083102	0.24543180644200935	0.8181060214733645	ns	50.33021739936889	55.260072957469994	-4.929855558101103	0
HF/HF	3	Chow	faith_pd	19	19	-2.8715820342628873	0.004084227606419832	0.00929822093365685	**	12.680062860508647	9.534884097915233	3.145178762593414	3.145178762593414
HF/LF	-15	Chow	faith_pd	20	19	0.2285049977659299	0.8192536712380754	0.8300106303581823	ns	50.33021739936889	50.95287165216328	-0.6226542527943906	0
HF/LF	-15	HF/HF	faith_pd	20	19	-0.9180238333274534	0.35860638843947595	0.8300106303581823	ns	55.260072957469994	50.95287165216328	4.307201305306712	0
HF/LF	3	Chow	faith_pd	19	19	-5.701973342624464	1.1842835194525797e-8	1.1842835194525797e-7	****	12.680062860508647	7.140035184760577	5.54002767574807	5.54002767574807
HF/LF	3	HF/HF	faith_pd	19	19	-2.8303913083615755	0.004649110466828425	0.00929822093365685	**	9.534884097915233	7.140035184760577	2.3948489131546564	2.3948489131546564
LF/HF	-15	Chow	faith_pd	20	20	-0.29726021658411766	0.7662678521213006	0.8300106303581823	ns	50.33021739936889	49.02077041845885	1.3094469809100389	0
LF/HF	-15	HF/HF	faith_pd	20	20	-1.4587769887924278	0.14462649805270972	0.7231324902635485	ns	55.260072957469994	49.02077041845885	6.239302539011142	0
LF/HF	-15	HF/LF	faith_pd	19	20	-0.5219294379509668	0.6017194609614185	0.8300106303581823	ns	50.95287165216328	49.02077041845885	1.9321012337044294	0
LF/HF	3	HF/HF	faith_pd	19	18	-1.4139982973163805	0.15736240241463886	0.2102994644049626	ns	9.534884097915233	8.164157330868385	1.3707267670468486	0
LF/HF	3	HF/LF	faith_pd	19	18	1.3778824913187893	0.1682395715239701	0.2102994644049626	ns	7.140035184760577	8.164157330868385	-1.0241221461078078	0
LF/HF	3	Chow	faith_pd	19	18	-4.24650936769884	2.171267062964073e-5	7.23755687654691e-5	****	12.680062860508647	8.164157330868385	4.515905529640262	4.515905529640262
LF/LF	-15	Chow	faith_pd	20	20	-0.5119481507837583	0.6086872976620793	0.8300106303581823	ns	50.33021739936889	49.10405352537604	1.2261638739928529	0
LF/LF	-15	HF/LF	faith_pd	19	20	-0.7338470891957157	0.4630419375068877	0.8300106303581823	ns	50.95287165216328	49.10405352537604	1.8488181267872434	0
LF/LF	-15	HF/HF	faith_pd	20	20	-1.6734649229920684	0.09423580628216216	0.7231324902635485	ns	55.260072957469994	49.10405352537604	6.156019432093956	0
LF/LF	-15	LF/HF	faith_pd	20	20	-0.21468793419964063	0.8300106303581823	0.8300106303581823	ns	49.02077041845885	49.10405352537604	-0.08328310691718599	0
LF/LF	3	HF/HF	faith_pd	19	20	-2.6110904342655505	0.009025402338440734	0.015042337230734558	*	9.534884097915233	7.322239174559059	2.212644923356174	2.212644923356174
LF/LF	3	Chow	faith_pd	19	20	-5.519254606173774	3.404406372349003e-8	1.7022031861745016e-7	****	12.680062860508647	7.322239174559059	5.357823685949588	5.357823685949588
LF/LF	3	HF/LF	faith_pd	19	20	0.2553582679636625	0.7984463998486582	0.7984463998486582	ns	7.140035184760577	7.322239174559059	-0.18220398979848262	0
LF/LF	3	LF/HF	faith_pd	18	20	-1.1431559629182515	0.2529738423805823	0.2810820470895359	ns	8.164157330868385	7.322239174559059	0.8419181563093252	0
