group2	day_post_inf	Family	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_rel_abun	group2_rel_abun	diff_means	stat_diff_means
HF/HF	-15	Bacteroidaceae	Chow	rel_abund	10	10	0.32500517880143986	0.7451771521743895	0.9242167586465592	ns	0.021241680670711617	0.02105526661847129	1.8641405224032598e-4	0
HF/HF	-15	Enterobacteriaceae	Chow	rel_abund	10	10	1.1963273662148926	0.23156883345449386	0.8763193258288358	ns	7.300856105893227e-5	0.004875925473453479	-0.004802916912394547	0
HF/HF	-15	Enterococcaceae	Chow	rel_abund	10	10	0.5369621549043279	0.5912937558573941	0.9682725279443419	ns	8.600115005950129e-5	1.2100401076279083e-4	-3.500286070328954e-5	0
HF/HF	-15	Lachnospiraceae	Chow	rel_abund	10	10	-0.3374645950928434	0.7357666974182839	0.9388649898237753	ns	0.31792408976247416	0.2960087406935377	0.02191534906893644	0
HF/HF	-15	Lactobacillaceae	Chow	rel_abund	10	10	-1.043072384832424	0.29691476937730427	0.6617589171929307	ns	0.3518984863385617	0.3086533056001176	0.04324518073844408	0
HF/HF	-15	Ruminococcaceae	Chow	rel_abund	10	10	0.3834824944236852	0.7013620474688376	0.9755258582101649	ns	0.011663556058153179	0.012747972097914052	-0.001084416039760873	0
HF/HF	3	Bacteroidaceae	Chow	rel_abund	9	9	-2.324911512144133	0.020076692278104297	0.20076692278104297	ns	0.28726657070837774	0.02810755117600768	0.2591590195323701	0
HF/HF	3	Enterobacteriaceae	Chow	rel_abund	9	9	1.784455615255932	0.07434966087803234	0.18587415219508086	ns	2.294211006531464e-4	0.200974905311016	-0.20074548421036284	0
HF/HF	3	Enterococcaceae	Chow	rel_abund	9	9	2.795514137256652	0.005181723542872864	0.02590861771436432	*	0.08149397897198082	0.19773277382488064	-0.11623879485289981	-0.11623879485289981
HF/HF	3	Lachnospiraceae	Chow	rel_abund	9	9	-2.490750577979909	0.012747357253007765	0.031868393132519414	*	0.013773797626103536	0.002354060163475226	0.01141973746262831	0.01141973746262831
HF/HF	3	Lactobacillaceae	Chow	rel_abund	9	9	-1.9024539589066638	0.05711183251482601	0.14277958128706503	ns	0.09794287841744401	0.0399821943343593	0.057960684083084704	0
HF/HF	3	Ruminococcaceae	Chow	rel_abund	9	9	-4.138728925015498	3.4923528889016015e-5	8.730882222254004e-5	****	0.0018704698052808741	7.591170284818024e-5	0.001794558102432694	0.001794558102432694
HF/LF	-15	Bacteroidaceae	Chow	rel_abund	10	10	0.22988171183516462	0.8181836876328267	0.9242167586465592	ns	0.021241680670711617	0.027808029220301934	-0.006566348549590317	0
HF/LF	-15	Bacteroidaceae	HF/HF	rel_abund	10	10	-0.09512346696627529	0.9242167586465592	0.9242167586465592	ns	0.02105526661847129	0.027808029220301934	-0.006752762601830643	0
HF/LF	-15	Enterobacteriaceae	HF/HF	rel_abund	10	10	-0.7052974770968397	0.48062513018600683	0.8763193258288358	ns	0.004875925473453479	0.0011180213504535094	0.00375790412299997	0
HF/LF	-15	Enterobacteriaceae	Chow	rel_abund	10	10	0.49102988911805295	0.6234053077987975	0.8763193258288358	ns	7.300856105893227e-5	0.0011180213504535094	-0.0010450127893945772	0
HF/LF	-15	Enterococcaceae	HF/HF	rel_abund	10	10	-0.2187623594054665	0.8268351694921414	0.9682725279443419	ns	1.2100401076279083e-4	8.100436093323057e-5	3.999964982956026e-5	0
HF/LF	-15	Enterococcaceae	Chow	rel_abund	10	10	0.3181997954988613	0.7503333878780906	0.9682725279443419	ns	8.600115005950129e-5	8.100436093323057e-5	4.996789126270721e-6	0
HF/LF	-15	Lachnospiraceae	Chow	rel_abund	10	10	-0.26076809620810637	0.794271348944978	0.9388649898237753	ns	0.31792408976247416	0.2999585431569844	0.01796554660548977	0
HF/LF	-15	Lachnospiraceae	HF/HF	rel_abund	10	10	0.07669649888473704	0.9388649898237753	0.9388649898237753	ns	0.2960087406935377	0.2999585431569844	-0.003949802463446672	0
HF/LF	-15	Lactobacillaceae	HF/HF	rel_abund	10	10	0.3834824944236852	0.7013620474688376	0.779291163854264	ns	0.3086533056001176	0.3317445961878277	-0.02309129058771009	0
HF/LF	-15	Lactobacillaceae	Chow	rel_abund	10	10	-0.6595898904087386	0.5095170436029265	0.6617589171929307	ns	0.3518984863385617	0.3317445961878277	0.02015389015073399	0
HF/LF	-15	Ruminococcaceae	Chow	rel_abund	10	10	0.6135719910778963	0.5394981968180633	0.9755258582101649	ns	0.011663556058153179	0.013035775959409945	-0.0013722199012567663	0
HF/LF	-15	Ruminococcaceae	HF/HF	rel_abund	10	10	0.2300894966542111	0.8180222264149289	0.9755258582101649	ns	0.012747972097914052	0.013035775959409945	-2.878038614958934e-4	0
HF/LF	3	Bacteroidaceae	Chow	rel_abund	9	10	-1.9100140010468816	0.056131410634256064	0.2804677465227964	ns	0.28726657070837774	0.033169676238247105	0.2540968944701306	0
HF/LF	3	Bacteroidaceae	HF/HF	rel_abund	9	10	0.47529488092656	0.6345768072739242	0.7050853414154713	ns	0.02810755117600768	0.033169676238247105	-0.005062125062239426	0
HF/LF	3	Enterobacteriaceae	Chow	rel_abund	9	10	2.4166729375923834	0.015663083826573585	0.07831541913286792	ns	2.294211006531464e-4	0.303720344322531	-0.3034909232218778	0
HF/LF	3	Enterobacteriaceae	HF/HF	rel_abund	9	10	0.5858601060830023	0.5579695281208708	0.719571824026278	ns	0.200974905311016	0.303720344322531	-0.10274543901151498	0
HF/LF	3	Enterococcaceae	HF/HF	rel_abund	9	10	-2.608967982854054	0.009081573895652896	0.030271912985509655	*	0.19773277382488064	0.07796431033994641	0.11976846348493422	0.11976846348493422
HF/LF	3	Enterococcaceae	Chow	rel_abund	9	10	0.259169004919277	0.7955048447397427	0.8838942719330475	ns	0.08149397897198082	0.07796431033994641	0.0035296686320344106	0
HF/LF	3	Lachnospiraceae	Chow	rel_abund	9	10	-3.1038144773373264	0.0019104308450134731	0.009552154225067366	**	0.013773797626103536	5.610269353741023e-4	0.013212770690729434	0.013212770690729434
HF/LF	3	Lachnospiraceae	HF/HF	rel_abund	9	10	-0.5483583038863543	0.5834459007714206	0.7293073759642756	ns	0.002354060163475226	5.610269353741023e-4	0.0017930332281011234	0
HF/LF	3	Lactobacillaceae	Chow	rel_abund	9	10	-2.290432161061608	0.021996276958491684	0.10998138479245842	ns	0.09794287841744401	0.014467981487783907	0.0834748969296601	0
HF/LF	3	Lactobacillaceae	HF/HF	rel_abund	9	10	-0.338555583384672	0.7349445477576403	0.7349445477576403	ns	0.0399821943343593	0.014467981487783907	0.025514212846575395	0
HF/LF	3	Ruminococcaceae	Chow	rel_abund	9	10	-4.361199910849099	1.2935111387909217e-5	4.747565926756595e-5	****	0.0018704698052808741	7.0000300030003e-5	0.0018004695052508712	0.0018004695052508712
HF/LF	3	Ruminococcaceae	HF/HF	rel_abund	9	10	-0.1149536286345378	0.908481877290183	0.9826932442681185	ns	7.591170284818024e-5	7.0000300030003e-5	5.9114028181772295e-6	0
LF/HF	-15	Bacteroidaceae	Chow	rel_abund	10	10	0.11097737812732078	0.9116342855452481	0.9242167586465592	ns	0.021241680670711617	0.020022811729735045	0.0012188689409765724	0
LF/HF	-15	Bacteroidaceae	HF/HF	rel_abund	10	10	-0.2140278006741191	0.8305253776621414	0.9242167586465592	ns	0.02105526661847129	0.020022811729735045	0.0010324548887362464	0
LF/HF	-15	Bacteroidaceae	HF/LF	rel_abund	10	10	-0.11890433370784383	0.9053511483203465	0.9242167586465592	ns	0.027808029220301934	0.020022811729735045	0.00778521749056689	0
LF/HF	-15	Enterobacteriaceae	HF/HF	rel_abund	10	10	0.11606161015517591	0.9076037138025792	0.9076037138025792	ns	0.004875925473453479	5.160325551508065e-4	0.004359892918302672	0
LF/HF	-15	Enterobacteriaceae	HF/LF	rel_abund	10	10	0.8213590872520155	0.41144176041382685	0.8763193258288358	ns	0.0011180213504535094	5.160325551508065e-4	6.019887953027028e-4	0
LF/HF	-15	Enterobacteriaceae	Chow	rel_abund	10	10	1.3123889763700685	0.18938892442552857	0.8763193258288358	ns	7.300856105893227e-5	5.160325551508065e-4	-4.4302399409187426e-4	0
LF/HF	-15	Enterococcaceae	Chow	rel_abund	10	10	0.5966246165603644	0.55075803227261	0.9682725279443419	ns	8.600115005950129e-5	1.3402547817161802e-4	-4.802432811211673e-5	0
LF/HF	-15	Enterococcaceae	HF/HF	rel_abund	10	10	0.05966246165603658	0.9524244697083548	0.9682725279443419	ns	1.2100401076279083e-4	1.3402547817161802e-4	-1.3021467408827188e-5	0
LF/HF	-15	Enterococcaceae	HF/LF	rel_abund	10	10	0.2784248210615031	0.7806862680357098	0.9682725279443419	ns	8.100436093323057e-5	1.3402547817161802e-4	-5.302111723838745e-5	0
LF/HF	-15	Lachnospiraceae	HF/HF	rel_abund	10	10	-1.0277330850554762	0.30407540026578017	0.664764323489611	ns	0.2960087406935377	0.21797510921325017	0.07803363148028755	0
LF/HF	-15	Lachnospiraceae	HF/LF	rel_abund	10	10	-1.1044295839402132	0.2694068335207441	0.664764323489611	ns	0.2999585431569844	0.21797510921325017	0.08198343394373422	0
