group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-15	Chow	shannon_entropy	10	10	0.7209470895165281	0.4709420690154712	0.7541734808021993	ns	5.222434126589883	5.4903984927785245	-0.2679643661886413	0
HF/HF	3	Chow	shannon_entropy	5	7	-1.5367737030236408	0.1243487352306682	0.17764105032952598	ns	2.923525266903241	2.305675389761321	0.6178498771419201	0
HF/LF	-15	Chow	shannon_entropy	10	10	0.5368754921931592	0.5913536208220358	0.7541734808021993	ns	5.222434126589883	5.364657317854476	-0.14222319126459304	0
HF/LF	-15	HF/HF	shannon_entropy	10	10	-0.18407159732336878	0.8539572877898913	0.8539572877898913	ns	5.4903984927785245	5.364657317854476	0.12574117492404824	0
HF/LF	3	Chow	shannon_entropy	5	9	-4.535098999530659	5.757647218397355e-6	5.757647218397355e-5	****	2.923525266903241	1.4912541100460843	1.4322711568571567	1.4322711568571567
HF/LF	3	HF/HF	shannon_entropy	7	9	-3.233865100893701	0.001221271261220441	0.0030531781530511023	**	2.305675389761321	1.4912541100460843	0.8144212797152366	0.8144212797152366
LF/HF	-15	Chow	shannon_entropy	10	10	-0.8436614877321075	0.3988585940937666	0.7541734808021993	ns	5.222434126589883	4.909031515089152	0.3134026115007309	0
LF/HF	-15	HF/HF	shannon_entropy	10	10	-1.5646085772486356	0.11767471649926554	0.7541734808021993	ns	5.4903984927785245	4.909031515089152	0.5813669776893722	0
LF/HF	-15	HF/LF	shannon_entropy	10	10	-1.3805369799252667	0.16742137180281977	0.7541734808021993	ns	5.364657317854476	4.909031515089152	0.45562580276532394	0
LF/HF	3	HF/HF	shannon_entropy	7	7	0.31264094565852324	0.7545534662796568	0.7545534662796568	ns	2.305675389761321	2.3884468059674386	-0.08277141620611772	0
LF/HF	3	HF/LF	shannon_entropy	9	7	3.565470900021276	3.6320346220485516e-4	0.0018160173110242758	**	1.4912541100460843	2.3884468059674386	-0.8971926959213543	-0.8971926959213543
LF/HF	3	Chow	shannon_entropy	5	7	-1.2513728724621074	0.21079846976228295	0.23422052195809218	ns	2.923525266903241	2.3884468059674386	0.5350784609358024	0
LF/LF	-15	Chow	shannon_entropy	10	10	-0.4141610939775799	0.6787561327219793	0.7541734808021993	ns	5.222434126589883	5.050504063734931	0.17193006285495205	0
LF/LF	-15	HF/LF	shannon_entropy	10	10	-0.9510365861707392	0.3415858037568993	0.7541734808021993	ns	5.364657317854476	5.050504063734931	0.3141532541195451	0
LF/LF	-15	HF/HF	shannon_entropy	10	10	-1.135108183494108	0.25632999315982513	0.7541734808021993	ns	5.4903984927785245	5.050504063734931	0.4398944290435933	0
LF/LF	-15	LF/HF	shannon_entropy	10	10	0.42950039375452753	0.6675591073888639	0.7541734808021993	ns	4.909031515089152	5.050504063734931	-0.14147254864577885	0
LF/LF	3	HF/HF	shannon_entropy	7	10	-1.9902955796573103	0.04655838466891663	0.07759730778152772	ns	2.305675389761321	1.7880037124231483	0.5176716773381727	0
LF/LF	3	Chow	shannon_entropy	5	10	-3.4336196046946705	5.955793783767879e-4	0.0019852645945892928	**	2.923525266903241	1.7880037124231483	1.1355215544800927	1.1355215544800927
LF/LF	3	HF/LF	shannon_entropy	9	10	1.412255135936777	0.15787485123507006	0.19734356404383757	ns	1.4912541100460843	1.7880037124231483	-0.29674960237706394	0
LF/LF	3	LF/HF	shannon_entropy	7	10	-2.3294022970301156	0.019837763501528133	0.039675527003056266	*	2.3884468059674386	1.7880037124231483	0.6004430935442904	0.6004430935442904
