group1	group2	p.value	signif
diet=Chow, vendor=taconic      	diet=Chow, vendor=charles_river	0.6476371884410655	ns
diet=HF/HF, vendor=charles_river	diet=Chow, vendor=charles_river	0.8839925594161263	ns
diet=HF/HF, vendor=taconic      	diet=Chow, vendor=charles_river	0.4737316548223629	ns
diet=HF/LF, vendor=charles_river	diet=Chow, vendor=charles_river	0.24334746052734568	ns
diet=HF/LF, vendor=taconic      	diet=Chow, vendor=charles_river	0.6571262955423308	ns
diet=LF/HF, vendor=charles_river	diet=Chow, vendor=charles_river	0.7488656190499626	ns
diet=LF/HF, vendor=taconic      	diet=Chow, vendor=charles_river	0.18867670149107996	ns
diet=LF/LF, vendor=charles_river	diet=Chow, vendor=charles_river	0.05393885280484063	ns
diet=LF/LF, vendor=taconic      	diet=Chow, vendor=charles_river	0.26336938227291673	ns
diet=HF/HF, vendor=charles_river	diet=Chow, vendor=taconic      	0.5496338281774964	ns
diet=HF/HF, vendor=taconic      	diet=Chow, vendor=taconic      	0.26336938227291673	ns
diet=HF/LF, vendor=charles_river	diet=Chow, vendor=taconic      	0.4737316548223629	ns
diet=HF/LF, vendor=taconic      	diet=Chow, vendor=taconic      	0.997781979690652	ns
diet=LF/HF, vendor=charles_river	diet=Chow, vendor=taconic      	0.8839925594161263	ns
diet=LF/HF, vendor=taconic      	diet=Chow, vendor=taconic      	0.1029346330443275	ns
diet=LF/LF, vendor=charles_river	diet=Chow, vendor=taconic      	0.21599441487962445	ns
diet=LF/LF, vendor=taconic      	diet=Chow, vendor=taconic      	0.5247915527003958	ns
diet=HF/HF, vendor=taconic      	diet=HF/HF, vendor=charles_river	0.4737316548223629	ns
diet=HF/LF, vendor=charles_river	diet=HF/HF, vendor=charles_river	0.22937077706759368	ns
diet=HF/LF, vendor=taconic      	diet=HF/HF, vendor=charles_river	0.6130723701302473	ns
diet=LF/HF, vendor=charles_river	diet=HF/HF, vendor=charles_river	0.6130723701302473	ns
diet=LF/HF, vendor=taconic      	diet=HF/HF, vendor=charles_river	0.18867670149107996	ns
diet=LF/LF, vendor=charles_river	diet=HF/HF, vendor=charles_river	0.03767499943201139	*
diet=LF/LF, vendor=taconic      	diet=HF/HF, vendor=charles_river	0.22937077706759368	ns
diet=HF/LF, vendor=charles_river	diet=HF/HF, vendor=taconic      	0.04006886784767904	*
diet=HF/LF, vendor=taconic      	diet=HF/HF, vendor=taconic      	0.22937077706759368	ns
diet=LF/HF, vendor=charles_river	diet=HF/HF, vendor=taconic      	0.26336938227291673	ns
diet=LF/HF, vendor=taconic      	diet=HF/HF, vendor=taconic      	0.4737316548223629	ns
diet=LF/LF, vendor=charles_river	diet=HF/HF, vendor=taconic      	0.004165650888918679	**
diet=LF/LF, vendor=taconic      	diet=HF/HF, vendor=taconic      	0.040078793634080144	*
diet=HF/LF, vendor=taconic      	diet=HF/LF, vendor=charles_river	0.48026762417910757	ns
diet=LF/HF, vendor=charles_river	diet=HF/LF, vendor=charles_river	0.4737316548223629	ns
diet=LF/HF, vendor=taconic      	diet=HF/LF, vendor=charles_river	0.004165650888918679	**
diet=LF/LF, vendor=charles_river	diet=HF/LF, vendor=charles_river	0.031523452835605745	*
diet=LF/LF, vendor=taconic      	diet=HF/LF, vendor=charles_river	0.48026762417910757	ns
diet=LF/HF, vendor=charles_river	diet=HF/LF, vendor=taconic      	0.997781979690652	ns
diet=LF/HF, vendor=taconic      	diet=HF/LF, vendor=taconic      	0.052461582617833104	ns
diet=LF/LF, vendor=charles_river	diet=HF/LF, vendor=taconic      	0.03838645346833952	*
diet=LF/LF, vendor=taconic      	diet=HF/LF, vendor=taconic      	0.26336938227291673	ns
diet=LF/HF, vendor=taconic      	diet=LF/HF, vendor=charles_river	0.1029346330443275	ns
diet=LF/LF, vendor=charles_river	diet=LF/HF, vendor=charles_river	0.15820526681991423	ns
diet=LF/LF, vendor=taconic      	diet=LF/HF, vendor=charles_river	0.48026762417910757	ns
diet=LF/LF, vendor=charles_river	diet=LF/HF, vendor=taconic      	3.2640878071348364e-4	***
diet=LF/LF, vendor=taconic      	diet=LF/HF, vendor=taconic      	0.004938857680577061	**
diet=LF/LF, vendor=taconic      	diet=LF/LF, vendor=charles_river	0.26336938227291673	ns
