term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
purified_diet	1	0.06026444894008052	0.009540787945364247	0.452134211785792	0.891	ns	-15
high_fat	1	0.08013328132684053	0.012686329302799405	0.6012001873035256	0.673	ns	-15
high_fiber	1	0.09532891554190401	0.015092031608073792	0.7152054792998745	0.53	ns	-15
high_fat:high_fiber	1	0.08278160972131812	0.013105600366681866	0.6210692791519818	0.638	ns	-15
Residual	45	5.9979982306413975	0.9495752507770807	NA	NA		-15
Total	49	6.316506486171541	1	NA	NA		-15
purified_diet	1	0.5385057580829956	0.13256378542986819	6.222412581581952	0.001	***	3
high_fat	1	0.07678026706332897	0.018900973100945784	0.8871929271338402	0.526	ns	3
high_fiber	1	0.5037246343269126	0.12400172762936373	5.820518082195643	0.001	***	3
high_fat:high_fiber	1	0.08731180122294324	0.021493517402704696	1.008884384791465	0.401	ns	3
Residual	33	2.855916380302274	0.7030399964371175	NA	NA		3
Total	37	4.062238840998455	1	NA	NA		3
