ko	day_post_inf	term	estimate	std.error	statistic	p.value	signif
K15873	-3	purified_diet	78.30430342959049	12.320360300099175	6.355682912046019	1.2999266955250741e-9	****
K15873	-3	seq_depth	4.1351220589534263e-20	2.0661962488639692e-4	2.001321056132489e-16	0.9999999999999998	ns
K15873	-3	high_fat	-8.793187521364679	5.74061668439748	-1.5317496368053685	0.12711106282200518	ns
K15873	-3	high_fiber	-22.66998293509707	7.142081736353568	-3.17414218598279	0.0017318614668808854	**
K15873	-3	purified_diet:seq_depth	-0.002165709731456352	2.929937900598262e-4	-7.391657451218122	3.524736319835348e-12	****
K15873	-3	high_fat:high_fiber	17.166447700401193	9.624503526615165	1.7836190358214197	0.075950625615326825	+
K15873	-8	purified_diet	55.4759989690431	34.14151932790183	1.6248837210857767	0.1057089419602855	ns
K15873	-8	seq_depth	2.8723737733188984e-5	5.725731833123389e-4	0.050166054873583166	0.9600384344761951	ns
K15873	-8	high_fat	56.13135191269765	15.908087970678475	3.5284788477507814	5.148512570492658e-4	***
K15873	-8	high_fiber	12.631325702983288	19.791752489674117	0.6382115838187339	0.5240413725826226	ns
K15873	-8	purified_diet:seq_depth	-2.1059821844420358e-4	8.119286208052084e-4	-0.2593802128016481	0.7955996683774262	ns
K15873	-8	high_fat:high_fiber	-41.75905492225728	26.670906140037633	-1.565715641718289	0.11894263469285828	ns
