ko	day_post_inf	term	estimate	std.error	statistic	p.value	p.value.adj
K00929	-15	(Intercept)	11046.400697933825	1131.283568422265	9.764484348817682	1.2401392245687958e-20	7.440835347412775e-20
K00929	-15	purified_diet	-11046.400697933786	1225.0268153707468	-9.017272568511622	4.8772656673251095e-18	1.463179700197533e-17
K00929	-15	seq_depth	-0.16211703313518386	0.02618419972587714	-6.191406834365381	1.2991868722178617e-9	2.5983737444357235e-9
K00929	-15	purified_diet:seq_depth	0.16211703313518383	0.028774648501983892	5.634023057623329	3.03354246785617e-8	4.5503137017842545e-8
K00929	-3	purified_diet	13490.74965571373	3316.213367146723	4.0681187131578325	5.556043780322021e-5	3.3336262681932124e-4
K00929	-3	purified_diet:seq_depth	-0.2788894031199499	0.07789451855251696	-3.5803469653891113	3.78762222822214e-4	0.001136286668466642
K00929	-8	purified_diet:seq_depth	0.20742371064024873	0.07272125150624129	2.8523121693312254	0.004531135037574997	0.027186810225449984
K00929	0	purified_diet	16357.228303993514	6095.220365310864	2.683615574768358	0.007539516295819962	0.04523709777491977
K00929	3	high_fiber	-2429.0965832707825	844.8056589783139	-2.875331808511403	0.004218867727986623	0.025313206367919734
K01034	-15	(Intercept)	1402.3376146254739	174.45050897973013	8.038598584933995	9.134609168758853e-15	5.480765501255312e-14
K01034	-15	purified_diet	-1402.3376146254723	190.66547836225934	-7.354963398046647	9.953611766799176e-13	2.9860835300397527e-12
K01034	-15	seq_depth	-0.017155638667006486	0.0040169660695359485	-4.270795015450144	2.406200046273395e-5	4.81240009254679e-5
K01034	-15	purified_diet:seq_depth	0.017155638667006475	0.004476332549717906	3.832521037358497	1.4604220314755898e-4	2.1906330472133847e-4
K01034	-3	purified_diet	728.5190981992348	281.9590212052364	2.5837765186060486	0.010106125421733008	0.030318376265199024
K01034	-3	purified_diet:seq_depth	-0.01776137255046085	0.006619668936133076	-2.68312097203403	0.007579194706263657	0.030318376265199024
K01034	-8	(Intercept)	1523.5286515610308	679.6062952475455	2.2417812521970353	0.02549199039118256	0.04444737214998493
K01034	-8	high_fat	597.6897871036947	273.87395961080426	2.1823534736674395	0.029631581433323288	0.04444737214998493
K01034	-8	high_fiber	-1303.9246527416817	288.8203783394799	-4.5146559956688614	8.228575130423527e-6	4.937145078254116e-5
K01034	-8	purified_diet:seq_depth	0.04258448381562756	0.017438434534824205	2.4419900611254524	0.01501422188811645	0.04444737214998493
K01034	0	high_fiber	580.0447881768443	204.45798143507508	2.8369877473383722	0.004772525235633159	0.014317575706899479
K01034	0	purified_diet	1624.700636837576	525.8155868711366	3.0898677738051665	0.0021343236778794818	0.01280594206727689
K01034	3	high_fiber	-159.78814705159957	66.32708770471278	-2.40909336714698	0.016417642089294138	0.09850585253576483
