group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-15	Chow	faith_pd	25	15	-1.7193698794526873	0.08554704317280323	0.6947206053136559	ns	49.06783213904759	46.24648620158877	2.8213459374588155	0
HF/HF	-3	Chow	faith_pd	23	19	-2.0236763370710222	0.04300346485059528	0.07676601118144703	ns	13.82867105674515	9.977758661034029	3.8509123957111218	0
HF/HF	-8	Chow	faith_pd	22	18	-4.133477896966041	3.573146733421081e-5	1.463141562718566e-4	***	49.93274150834583	40.07618159488731	9.856559913458518	9.856559913458518
HF/HF	0	Chow	faith_pd	24	18	-4.476843037349713	7.575490296105825e-6	2.525163432035275e-5	****	18.760575237176212	10.928511788799742	7.83206344837647	7.83206344837647
HF/HF	3	Chow	faith_pd	14	1	-1.6469669092000605	0.09956484762984595	0.24891211907461488	ns	27.721292079064508	10.48476089351789	17.236531185546617	0
HF/LF	-15	Chow	faith_pd	25	32	-1.0850754442587014	0.27788824212546237	0.6947206053136559	ns	49.06783213904759	46.27773335247054	2.7900987865770475	0
HF/LF	-15	HF/HF	faith_pd	15	32	0.8689476640095447	0.38487575733582274	0.7213146407957884	ns	46.24648620158877	46.27773335247054	-0.031247150881767993	0
HF/LF	-3	Chow	faith_pd	23	28	1.4047209430868086	0.1601042755597892	0.22872039365684171	ns	13.82867105674515	16.792328467350863	-2.9636574106057125	0
HF/LF	-3	HF/HF	faith_pd	19	28	3.440687628111522	5.802379821244751e-4	0.0019341266070815838	**	9.977758661034029	16.792328467350863	-6.814569806316834	-6.814569806316834
HF/LF	-8	Chow	faith_pd	22	25	-5.143218639460253	2.700710054373868e-7	2.700710054373868e-6	****	49.93274150834583	38.922542177718526	11.010199330627302	11.010199330627302
HF/LF	-8	HF/HF	faith_pd	18	25	-0.6139723283517912	0.5392336130544646	0.6202496028178267	ns	40.07618159488731	38.922542177718526	1.1536394171687832	0
HF/LF	0	HF/HF	faith_pd	18	28	-0.3380148711191192	0.7353519811519562	0.817057756835507	ns	10.928511788799742	11.563505663595132	-0.6349938747953896	0
HF/LF	0	Chow	faith_pd	24	28	-5.3851786125802334	7.23727434577393e-8	3.618637172886965e-7	****	18.760575237176212	11.563505663595132	7.19706957358108	7.19706957358108
HF/LF	3	Chow	faith_pd	14	6	-1.9534914978719677	0.050761383756771736	0.16920461252257246	ns	27.721292079064508	18.508355817107578	9.21293626195693	0
HF/LF	3	HF/HF	faith_pd	1	6	0.695815339134684	0.48654448177176923	0.6641047248857085	ns	10.48476089351789	18.508355817107578	-8.023594923589688	0
LF/HF	-15	Chow	faith_pd	25	19	-0.5657394221337054	0.5715709321602404	0.7612095881465691	ns	49.06783213904759	47.95005795559459	1.117774183453001	0
LF/HF	-15	HF/HF	faith_pd	15	19	1.1272824116111315	0.2596230963363678	0.6947206053136559	ns	46.24648620158877	47.95005795559459	-1.7035717540058144	0
LF/HF	-15	HF/LF	faith_pd	32	19	0.4055291045253064	0.6850886293319122	0.7612095881465691	ns	46.27773335247054	47.95005795559459	-1.6723246031240464	0
LF/HF	-3	HF/LF	faith_pd	28	18	-3.663797554088355	2.4850322437143865e-4	0.0018249715998120844	**	16.792328467350863	9.976781816221015	6.815546651129848	6.815546651129848
LF/HF	-3	HF/HF	faith_pd	19	18	-0.2559587768925689	0.797982668449356	0.8377207799334592	ns	9.977758661034029	9.976781816221015	9.768448130138552e-4	0
LF/HF	-3	Chow	faith_pd	23	18	-2.2611040043170756	0.023752817484550222	0.05938204371137555	ns	13.82867105674515	9.976781816221015	3.8518892405241356	0
LF/HF	-8	HF/HF	faith_pd	18	17	-0.016968109197043797	0.9864620572821445	0.9864620572821445	ns	40.07618159488731	38.70248604989328	1.3736955449940282	0
LF/HF	-8	HF/LF	faith_pd	25	17	0.5854805477276801	0.558224642536044	0.6202496028178267	ns	38.922542177718526	38.70248604989328	0.22005612782524508	0
LF/HF	-8	Chow	faith_pd	22	17	-4.08596366950109	4.3894246881556977e-5	1.463141562718566e-4	***	49.93274150834583	38.70248604989328	11.230255458452547	11.230255458452547
LF/HF	0	HF/LF	faith_pd	28	17	1.407041069583885	0.15941521087263993	0.2656920181210666	ns	11.563505663595132	12.415644919363054	-0.8521392557679217	0
LF/HF	0	HF/HF	faith_pd	18	17	0.9772496842203928	0.3284455562451244	0.46920793749303485	ns	10.928511788799742	12.415644919363054	-1.4871331305633113	0
LF/HF	0	Chow	faith_pd	24	17	-3.360848923368566	7.770331514751806e-4	0.0019425828786879514	**	18.760575237176212	12.415644919363054	6.344930317813159	6.344930317813159
LF/HF	3	Chow	faith_pd	14	2	-2.473447704801356	0.013381638711593159	0.06690819355796579	ns	27.721292079064508	9.823648569259404	17.897643509805103	0
LF/HF	3	HF/LF	faith_pd	6	2	-1.1225331376673433	0.2616358261129659	0.5232716522259317	ns	18.508355817107578	9.823648569259404	8.684707247848173	0
LF/HF	3	HF/HF	faith_pd	1	2	-0.13470397652008118	0.8928459290408108	0.8928459290408108	ns	10.48476089351789	9.823648569259404	0.661112324258486	0
LF/LF	-15	LF/HF	faith_pd	19	29	-0.47392291784573576	0.6355548757478359	0.7612095881465691	ns	47.95005795559459	47.10041165230983	0.8496463032847572	0
LF/LF	-15	Chow	faith_pd	25	29	-1.143447328087871	0.2528529117982756	0.6947206053136559	ns	49.06783213904759	47.10041165230983	1.9674204867377583	0
LF/LF	-15	HF/LF	faith_pd	32	29	-0.08747963763970677	0.9302902701839483	0.9302902701839483	ns	46.27773335247054	47.10041165230983	-0.8226782998392892	0
LF/LF	-15	HF/HF	faith_pd	15	29	0.7844283915142805	0.43278878447747304	0.7213146407957884	ns	46.24648620158877	47.10041165230983	-0.8539254507210572	0
LF/LF	-3	HF/LF	faith_pd	28	27	-3.564180797579933	3.649943199624169e-4	0.0018249715998120844	**	16.792328467350863	10.7437377046976	6.048590762653264	6.048590762653264
LF/LF	-3	HF/HF	faith_pd	19	27	0.20480973612489053	0.8377207799334592	0.8377207799334592	ns	9.977758661034029	10.7437377046976	-0.7659790436635703	0
LF/LF	-3	LF/HF	faith_pd	18	27	0.4782248256222306	0.6324901947694732	0.7906127434618415	ns	9.976781816221015	10.7437377046976	-0.7669558884765841	0
