day_post_inf	Family	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
-15	Bacteroidaceae	rel_abund	Chow	HF/HF	25	15	-2.9084042670913437	0.003632783835972577	0.009081959589931443	**
-15	Bacteroidaceae	rel_abund	Chow	HF/LF	25	32	-0.8267895839487163	0.40835633483081396	0.5104454185385174	ns
-15	Bacteroidaceae	rel_abund	Chow	LF/HF	25	19	-2.99165479391053	0.0027746982753876644	0.009081959589931443	**
-15	Bacteroidaceae	rel_abund	Chow	LF/LF	25	29	0.03617232393867421	0.9711449538399114	0.9711449538399114	ns
-15	Bacteroidaceae	rel_abund	HF/HF	HF/LF	15	32	2.330297977032259	0.019790407613002402	0.03298401268833734	*
-15	Bacteroidaceae	rel_abund	HF/HF	LF/HF	15	19	0.11394946248714537	0.9092778554911596	0.9711449538399114	ns
-15	Bacteroidaceae	rel_abund	HF/HF	LF/LF	15	29	3.017711337846535	0.002546913822881481	0.009081959589931443	**
-15	Bacteroidaceae	rel_abund	HF/LF	LF/HF	32	19	-2.3818217722875694	0.017227232930386978	0.03298401268833734	*
-15	Bacteroidaceae	rel_abund	HF/LF	LF/LF	32	29	0.8992932557329796	0.36849647875298924	0.5104454185385174	ns
-15	Bacteroidaceae	rel_abund	LF/HF	LF/LF	19	29	3.118383422450677	0.001818460649896658	0.009081959589931443	**
-8	Bacteroidaceae	rel_abund	Chow	HF/HF	22	18	-3.1874782215886657	0.0014351926562293706	0.007175963281146853	**
-8	Bacteroidaceae	rel_abund	Chow	HF/LF	22	25	-1.4170499759610862	0.15646831652888474	0.22352616646983534	ns
-8	Bacteroidaceae	rel_abund	Chow	LF/HF	22	17	-1.7976266114883017	0.07223619831486838	0.12039366385811398	ns
-8	Bacteroidaceae	rel_abund	Chow	LF/LF	22	26	0.5159904013616101	0.6058611132190483	0.6058611132190483	ns
-8	Bacteroidaceae	rel_abund	HF/HF	HF/LF	18	25	1.937128623694362	0.052729622473047966	0.10545924494609593	ns
-8	Bacteroidaceae	rel_abund	HF/HF	LF/HF	18	17	1.2789938022909397	0.20089923839337348	0.25112404799171684	ns
-8	Bacteroidaceae	rel_abund	HF/HF	LF/LF	18	26	3.791379355563455	1.4981291842308122e-4	0.0014981291842308122	**
-8	Bacteroidaceae	rel_abund	HF/LF	LF/HF	25	17	-0.528851868805987	0.596908212912542	0.6058611132190483	ns
-8	Bacteroidaceae	rel_abund	HF/LF	LF/LF	25	26	2.0124753044685666	0.04416985737282856	0.10545924494609593	ns
-8	Bacteroidaceae	rel_abund	LF/HF	LF/LF	17	26	2.340340505582968	0.019266165517305294	0.06422055172435098	ns
-3	Bacteroidaceae	rel_abund	Chow	HF/HF	23	19	-2.12121332995418	0.03390385400670224	0.1695192700335112	ns
-3	Bacteroidaceae	rel_abund	Chow	HF/LF	23	28	-2.3586399932716176	0.018342040057469366	0.1695192700335112	ns
-3	Bacteroidaceae	rel_abund	Chow	LF/HF	23	18	-0.7550561724664769	0.4502152787209062	0.5627690984011328	ns
-3	Bacteroidaceae	rel_abund	Chow	LF/LF	23	27	-0.8310033325661116	0.4059717467283984	0.5627690984011328	ns
-3	Bacteroidaceae	rel_abund	HF/HF	HF/LF	19	28	-0.02065435553393878	0.9835213802509291	0.9952423416258366	ns
-3	Bacteroidaceae	rel_abund	HF/HF	LF/HF	19	18	1.2769024009253676	0.20163670640827963	0.33606117734713276	ns
-3	Bacteroidaceae	rel_abund	HF/HF	LF/LF	19	27	1.408631686824331	0.1589441042052578	0.3178882084105156	ns
-3	Bacteroidaceae	rel_abund	HF/LF	LF/HF	28	18	1.4105354779882537	0.15838162825108607	0.3178882084105156	ns
-3	Bacteroidaceae	rel_abund	HF/LF	LF/LF	28	27	1.5866183570976948	0.11259910725807067	0.3178882084105156	ns
-3	Bacteroidaceae	rel_abund	LF/HF	LF/LF	18	27	0.005962875836559242	0.9952423416258366	0.9952423416258366	ns
0	Bacteroidaceae	rel_abund	Chow	HF/HF	24	18	-1.349986809209215	0.17702021407831023	0.4615589854835525	ns
0	Bacteroidaceae	rel_abund	Chow	HF/LF	24	28	-2.363864373981698	0.018085432101008384	0.18085432101008383	ns
0	Bacteroidaceae	rel_abund	Chow	LF/HF	24	17	-1.3266527003536572	0.184623594193421	0.4615589854835525	ns
0	Bacteroidaceae	rel_abund	Chow	LF/LF	24	28	-0.8266755121551909	0.40842100456545155	0.5948258163571906	ns
0	Bacteroidaceae	rel_abund	HF/HF	HF/LF	18	28	-0.7832736880620694	0.43346641096873906	0.5948258163571906	ns
0	Bacteroidaceae	rel_abund	HF/HF	LF/HF	18	17	0.0011263586791187621	0.9991012959900334	0.9991012959900334	ns
0	Bacteroidaceae	rel_abund	HF/HF	LF/LF	18	28	0.6321309574139579	0.5273013078489759	0.5948258163571906	ns
0	Bacteroidaceae	rel_abund	HF/LF	LF/HF	28	17	0.77085549312298	0.4407925903066882	0.5948258163571906	ns
0	Bacteroidaceae	rel_abund	HF/LF	LF/LF	28	28	1.5999568942111415	0.10960814638904481	0.4615589854835525	ns
0	Bacteroidaceae	rel_abund	LF/HF	LF/LF	17	28	0.6198702179385979	0.5353432347214715	0.5948258163571906	ns
3	Bacteroidaceae	rel_abund	Chow	HF/HF	14	1	-0.8003586480042748	0.42350303238393655	0.5293787904799206	ns
3	Bacteroidaceae	rel_abund	Chow	HF/LF	14	6	1.672476528690354	0.09443039241448745	0.39328401314237177	ns
3	Bacteroidaceae	rel_abund	Chow	LF/HF	14	2	-1.095936214015696	0.2731066896111455	0.47082727284740966	ns
3	Bacteroidaceae	rel_abund	Chow	LF/LF	14	8	0.6533023128378582	0.5135614016716654	0.5706237796351838	ns
3	Bacteroidaceae	rel_abund	HF/HF	HF/LF	1	6	1.5225434562550886	0.12787296539898863	0.39328401314237177	ns
3	Bacteroidaceae	rel_abund	HF/HF	LF/HF	1	2	0	1	1	ns
3	Bacteroidaceae	rel_abund	HF/HF	LF/LF	1	8	1.054055992941557	0.2918572824370373	0.47082727284740966	ns
3	Bacteroidaceae	rel_abund	HF/LF	LF/HF	6	2	-2.014135672769857	0.04399529113992265	0.39328401314237177	ns
3	Bacteroidaceae	rel_abund	HF/LF	LF/LF	6	8	-0.9749620377773812	0.3295790909931868	0.47082727284740966	ns
3	Bacteroidaceae	rel_abund	LF/HF	LF/LF	2	8	1.4141645113850159	0.1573136052569487	0.39328401314237177	ns
-15	Enterobacteriaceae	rel_abund	Chow	HF/HF	25	15	-0.7141435335677802	0.47513842901936176	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	Chow	HF/LF	25	32	-0.9919013569580387	0.32124564711862685	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	Chow	LF/HF	25	19	-1.58226545609692	0.11358898313723552	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	Chow	LF/LF	25	29	-0.7693651580481762	0.44167656630318486	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	HF/HF	HF/LF	15	32	-0.10075186172965814	0.9197474410833093	0.9416813553878879	ns
-15	Enterobacteriaceae	rel_abund	HF/HF	LF/HF	15	19	-0.7189754737184225	0.472156031578525	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	HF/HF	LF/LF	15	29	0.07315678422515681	0.9416813553878879	0.9416813553878879	ns
-15	Enterobacteriaceae	rel_abund	HF/LF	LF/HF	32	19	-0.7485733572451311	0.4541143953785553	0.678769184313374	ns
-15	Enterobacteriaceae	rel_abund	HF/LF	LF/LF	32	29	0.21371727269773338	0.8307675408698696	0.9416813553878879	ns
-15	Enterobacteriaceae	rel_abund	LF/HF	LF/LF	19	29	0.9201985653041967	0.3574690039189479	0.678769184313374	ns
-8	Enterobacteriaceae	rel_abund	Chow	HF/HF	22	18	0.06509410301939295	0.9480990755853618	0.9480990755853618	ns
-8	Enterobacteriaceae	rel_abund	Chow	HF/LF	22	25	1.7934429207142055	0.07290212981819424	0.5164814957076223	ns
-8	Enterobacteriaceae	rel_abund	Chow	LF/HF	22	17	0.780339919330303	0.43519082176001855	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	Chow	LF/LF	22	26	0.7119722954815886	0.4764819319192821	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	HF/HF	HF/LF	18	25	1.6290789859787393	0.10329629914152445	0.5164814957076223	ns
-8	Enterobacteriaceae	rel_abund	HF/HF	LF/HF	18	17	0.6839153277332176	0.49402863456441537	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	HF/HF	LF/LF	18	26	0.6051678336652258	0.5450674861967987	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	HF/LF	LF/HF	25	17	-0.866140969636481	0.386412860229051	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	HF/LF	LF/LF	25	26	-1.135354809461147	0.25622668604406024	0.6813343577459984	ns
-8	Enterobacteriaceae	rel_abund	LF/HF	LF/LF	17	26	-0.14665399196495504	0.8834051349393528	0.9480990755853618	ns
-3	Enterobacteriaceae	rel_abund	Chow	HF/HF	23	19	-1.0715349928712545	0.28392894528682544	0.6173571049173232	ns
-3	Enterobacteriaceae	rel_abund	Chow	HF/LF	23	28	-0.5652892027048726	0.5718770715457312	0.714846339432164	ns
-3	Enterobacteriaceae	rel_abund	Chow	LF/HF	23	18	-1.991773891774958	0.04639587207289461	0.4639587207289461	ns
-3	Enterobacteriaceae	rel_abund	Chow	LF/LF	23	27	-0.9820703995542038	0.3260651669680972	0.6173571049173232	ns
-3	Enterobacteriaceae	rel_abund	HF/HF	HF/LF	19	28	0.5824232689762389	0.5602816118618552	0.714846339432164	ns
-3	Enterobacteriaceae	rel_abund	HF/HF	LF/HF	19	18	-0.8956976554315207	0.3704142629503939	0.6173571049173232	ns
-3	Enterobacteriaceae	rel_abund	HF/HF	LF/LF	19	27	0.17875686411606273	0.8581286170897549	0.8581286170897549	ns
-3	Enterobacteriaceae	rel_abund	HF/LF	LF/HF	28	18	-1.5481997178419586	0.121574219331056	0.60787109665528	ns
-3	Enterobacteriaceae	rel_abund	HF/LF	LF/LF	28	27	-0.44336203308585687	0.6575038931582836	0.7305598812869818	ns
-3	Enterobacteriaceae	rel_abund	LF/HF	LF/LF	18	27	1.14410293048609	0.2525809525086493	0.6173571049173232	ns
0	Enterobacteriaceae	rel_abund	Chow	HF/HF	24	18	-2.569405669804244	0.010187312281946493	0.016978853803244154	*
0	Enterobacteriaceae	rel_abund	Chow	HF/LF	24	28	-2.596927210254878	0.009406185474541263	0.016978853803244154	*
0	Enterobacteriaceae	rel_abund	Chow	LF/HF	24	17	0.6109638983742773	0.5412234807607766	0.7249585497991273	ns
0	Enterobacteriaceae	rel_abund	Chow	LF/LF	24	28	-3.1286485882759423	0.001756121947568703	0.008164497266088006	**
0	Enterobacteriaceae	rel_abund	HF/HF	HF/LF	18	28	0.2606824591254927	0.7943373940692372	0.8189364240489974	ns
0	Enterobacteriaceae	rel_abund	HF/HF	LF/HF	18	17	2.9415445237952884	0.0032657989064352024	0.008164497266088006	**
0	Enterobacteriaceae	rel_abund	HF/HF	LF/LF	18	28	-0.22891314440736105	0.8189364240489974	0.8189364240489974	ns
0	Enterobacteriaceae	rel_abund	HF/LF	LF/HF	28	17	2.9793966911255345	0.0028881660259583736	0.008164497266088006	**
0	Enterobacteriaceae	rel_abund	HF/LF	LF/LF	28	28	-0.5534331569078641	0.5799668398393019	0.7249585497991273	ns
