Family	day_post_inf	term	estimate	std.error	statistic	p.value	p.value.adj
Bacteroidaceae	-8	purified_diet	-0.056229024361527755	0.018773326783239036	-2.9951550415523283	0.0034430755036449954	0.005164613255467493
Bacteroidaceae	-8	seq_depth	-1.4131825355175985e-6	4.5629551321436525e-7	-3.09707743028736	0.002524411237897598	0.005048822475795196
Bacteroidaceae	-8	high_fat	-0.010722169027691538	0.003347666657328569	-3.2028783404163086	0.0018154826430601249	0.005048822475795196
Bacteroidaceae	-8	high_fiber	-0.00812534127844137	0.0034057950633564183	-2.3857399307032376	0.018890095758640795	0.018890095758640795
Bacteroidaceae	-8	purified_diet:seq_depth	1.3629211129959268e-6	4.966250628959314e-7	2.7443663536601033	0.007164977233358666	0.008597972680030399
Bacteroidaceae	-3	high_fat	-0.053741226324482326	0.025713411634676022	-2.090007622792814	0.03894328302826543	0.23365969816959256
Bacteroidaceae	0	high_fiber	-0.055240923061431337	0.0180723965341651	-3.0566462481608743	0.0028153677207664943	0.016892206324598966
Enterobacteriaceae	0	high_fiber	0.10709742011334179	0.04143068288607271	2.5849783941008497	0.011059293647102798	0.06635576188261678
Enterobacteriaceae	3	high_fat	0.059051217508931275	0.023330946464434583	2.5310253743433964	0.018038419615587276	0.05411525884676183
Enterobacteriaceae	3	high_fiber	0.13205567242455804	0.028607766450490933	4.616077688312219	1.0079601709794577e-4	6.047761025876746e-4
Enterococcaceae	-15	seq_depth	5.573956102367199e-9	2.6510394225018527e-9	2.1025549658205067	0.03763050278834126	0.07526100557668251
Enterococcaceae	3	purified_diet	0.40095054821406056	0.13462767678757356	2.978217835896498	0.006362203538566878	0.038173221231401266
Enterococcaceae	3	high_fiber	0.11640936608456336	0.04441242320985303	2.6210991806170485	0.014699338672730123	0.04409801601819037
Lachnospiraceae	-8	high_fiber	-0.03647137138072505	0.01797544147853179	-2.0289555293695067	0.04506813625783588	0.16943259861306334
Lachnospiraceae	-3	high_fiber	-0.031416058340175496	0.014906242092684313	-2.1075773588565205	0.03736047456253284	0.22416284737519704
Lachnospiraceae	3	purified_diet	-0.2981471913030394	0.09755265450677246	-3.0562693840621318	0.005272484431415996	0.01581745329424799
Lactobacillaceae	-8	purified_diet	-0.302970719089774	0.13806330517161017	-2.194433334137459	0.03047314645411718	0.06094629290823436
Lactobacillaceae	-8	high_fat	-0.09968283200530696	0.02461950024415624	-4.0489380782198445	1.0040290492760285e-4	3.0120871478280854e-4
Lactobacillaceae	-3	high_fat	0.21745251876565108	0.06371600299274464	3.412839923282891	9.03283904688322e-4	0.005419703428129932
Lactobacillaceae	0	high_fiber	-0.06978379382350335	0.03489288183885691	-1.9999435456715908	0.04799354521915685	0.14398063565747055
Lactobacillaceae	3	seq_depth	-5.815169105805699e-6	2.507515195780166e-6	-2.3190962573594374	0.028852552240585333	0.057705104481170666
Lactobacillaceae	3	high_fiber	0.12986264015665755	0.0487186460953387	2.6655634046669974	0.013272789089982367	0.0398183672699471
Marinifilaceae	-8	high_fiber	-0.058025450527500945	0.014116937297185723	-4.11034272561858	8.002114958075448e-5	4.801268974845269e-4
Marinifilaceae	0	high_fiber	0.00332392134574973	0.0016249935758702867	2.0454981454123966	0.04321365168604628	0.25928191011627766
Marinifilaceae	3	seq_depth	1.5034512845101971e-6	5.939571136152707e-7	2.5312455226928074	0.018029460741522948	0.10817676444913768
Muribaculaceae	-15	seq_depth	1.2085881754580868e-6	6.023667152131578e-7	2.0063993327227703	0.047100299283995666	0.047100299283995666
Muribaculaceae	-8	high_fiber	0.12116763337770879	0.016990267200403128	7.131590807167167	1.4696203334542996e-10	8.817722000725797e-10
Muribaculaceae	-8	purified_diet:seq_depth	-5.043920365342705e-6	2.477480987568119e-6	-2.0359067902651344	0.04435195722390058	0.1320199567036936
Muribaculaceae	-3	seq_depth	1.6206174177924147e-6	6.042264062851957e-7	2.682136035324946	0.008453909736483583	0.025361729209450748
Muribaculaceae	-3	purified_diet:seq_depth	-1.7156743816118111e-6	6.282455774090501e-7	-2.7308976669401	0.00736833554383123	0.025361729209450748
Muribaculaceae	0	purified_diet	-0.060318791198973556	0.018588223520867458	-3.2450003159935457	0.0015600552453196098	0.003968330624729741
Muribaculaceae	0	seq_depth	-1.1773748281807203e-6	3.7150346611069083e-7	-3.1692162673656377	0.0019841653123648705	0.003968330624729741
Muribaculaceae	0	purified_diet:seq_depth	1.0921276703160668e-6	3.993936595031099e-7	2.7344642167699784	0.007294139572609831	0.010941209358914745
Muribaculaceae	3	seq_depth	3.921201122840292e-6	1.4189126140864832e-6	2.763525451752234	0.010575123733090714	0.06345074239854429
Ruminococcaceae	-8	high_fiber	-0.010715537063147087	0.0018795691805926764	-5.701060207727072	1.1645512730387151e-7	6.987307638232291e-7
Ruminococcaceae	-3	high_fat	0.0030485493486134326	0.0013723408223505077	2.2214229140192456	0.028389282435803558	0.17033569461482134
Staphylococcaceae	-15	seq_depth	-1.7517287012884212e-6	4.226136118677628e-7	-4.144988831634091	6.426490229429048e-5	6.426490229429048e-5
Staphylococcaceae	-8	high_fat	2.4830636434676023e-4	1.0899700269060082e-4	2.2781026837187746	0.024805855370847854	0.14883513222508712
Tannerellaceae	-3	high_fat	-0.20557296231194525	0.04644712728847794	-4.425956443660217	2.2875086203136328e-5	1.3725051721881796e-4
Tannerellaceae	-3	high_fiber	0.22319557309780205	0.06022766528840559	3.7058646060578635	3.3280814927645337e-4	9.984244478293601e-4
