tissue	term	estimate	std.error	statistic	p.value
cecum	(Intercept)	-1.5802361540251775	2.527137761826586	-0.625306691979863	0.5374364618668764
cecum	purified_diet	3.8864757885191685	3.434538506680337	1.1315860285042059	0.2685466775001596
cecum	seq_depth	5.458690541693564e-5	5.675455801310748e-5	0.9618065460809118	0.34535801280255873
cecum	high_fat	-0.23664352509600578	0.8974573329323126	-0.2636822012727972	0.7941861338547671
cecum	high_fiber	0.5271338804850215	1.0933293653148222	0.4821363965955806	0.6339033882449233
cecum	purified_diet:seq_depth	-8.356513963739165e-5	8.064929310568311e-5	-1.036154644627667	0.31004907065990445
colon	(Intercept)	-2.081791940267181	4.50276009174449	-0.46233685514003015	0.6478384447401363
colon	purified_diet	9.060239382275217	6.119532996991064	1.4805442485121134	0.1512217011607619
colon	seq_depth	1.7839013262561347e-5	1.0112316103468284e-4	0.17640877796969767	0.8613940940464623
colon	high_fat	-1.0332642735248876	1.5990561036333262	-0.6461713702084225	0.524056287293523
colon	high_fiber	1.6162061944513275	1.9480536073797678	0.8296518064639955	0.41458789914685334
colon	purified_diet:seq_depth	-1.5893889902390888e-4	1.4369791149066499e-4	-1.1060626934319362	0.2792298067412572
