tissue	term	estimate	std.error	statistic	p.value	signif
cecum	purified_diet	7.17781608907049	2.3161908828112896	3.0989743299388066	0.002607382251254822	**
cecum	seq_depth	1.2085409917955197e-4	5.6630803018709475e-5	2.1340700243933437	0.035618632938770094	*
cecum	high_fat	-1.51691319016592	0.5041101217664977	-3.0090909201552387	0.0034173909634554055	**
cecum	high_fiber	1.103122694586716	0.559585289615041	1.971321825392505	0.05182893266094593	+
cecum	study	0.23224798037713182	0.0983693947402849	2.360978035803854	0.020435230098519965	*
cecum	purified_diet:seq_depth	-1.269289289765341e-4	5.6569008736631325e-5	-2.2437891667410663	0.02735552966787074	*
cecum	high_fat:high_fiber	1.7817096601894478	0.809210386250852	2.2017879286550888	0.03029576310620212	*
colon	purified_diet	8.776254922874012	3.9435087648969915	2.225493956294847	0.028604002765732616	*
colon	seq_depth	8.726653825573295e-5	9.641868022396106e-5	0.9050791615590513	0.36789474961071	ns
colon	high_fat	-1.9401154047810363	0.8582896592903312	-2.2604436436822537	0.02626086333137426	*
colon	high_fiber	2.8415764541346125	0.9527407739494704	2.9825284398768876	0.003698066783168942	**
colon	study	0.3270450384373701	0.1674821247396867	1.9527160820636116	0.05403149395421594	+
colon	purified_diet:seq_depth	-8.308478484475377e-5	9.631347028862969e-5	-0.8626496854050368	0.3906749654972477	ns
colon	high_fat:high_fiber	0.8035549549041281	1.3777483861574762	0.58323781249001	0.5612249862004859	ns
