tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
cecum	score	Chow	HF/HF	14	6	0.4947669578000842	0.6207646308397818	0.7759557885497272	ns	6.3999999999999995	
cecum	score	Chow	HF/LF	14	1	0.7502404744080362	0.4531098861234952	0.7759557885497272	ns	7.066666666666666	
cecum	score	Chow	LF/HF	14	7	0.5302223353115627	0.595957786921518	0.7759557885497272	ns	7.7333333333333325	
cecum	score	Chow	LF/LF	14	3	1.3977105745655463	0.16219999748669858	0.7759557885497272	ns	8.399999999999999	
cecum	score	HF/HF	HF/LF	6	1	0.4954536575862147	0.6202799266783909	0.7759557885497272	ns	9.066666666666666	
cecum	score	HF/HF	LF/HF	6	7	0.007232322133778235	0.9942294921365784	0.9942294921365784	ns	9.733333333333333	
cecum	score	HF/HF	LF/LF	6	3	0.916148060567121	0.35958924314237184	0.7759557885497272	ns	10.399999999999999	
cecum	score	HF/LF	LF/HF	1	7	-0.49682420974140684	0.6193130213017071	0.7759557885497272	ns	11.066666666666666	
cecum	score	HF/LF	LF/LF	1	3	0.09756935987955932	0.9222742556601219	0.9942294921365784	ns	11.73333333333333	
cecum	score	LF/HF	LF/LF	7	3	0.9329415225799416	0.3508501620163162	0.7759557885497272	ns	12.399999999999999	
colon	score	Chow	HF/HF	14	6	-0.22900784518939205	0.81886281857109	0.81886281857109	ns	18.612000000000002	
colon	score	Chow	HF/LF	14	1	1.8278464688952119	0.06757259690740662	0.16893149226851656	ns	20.625333333333334	
colon	score	Chow	LF/HF	14	7	0.5356995234749103	0.5921662330153525	0.6703337223346633	ns	22.63866666666667	
colon	score	Chow	LF/LF	14	3	2.030698678360355	0.042285570510804685	0.16893149226851656	ns	24.652	
colon	score	HF/HF	HF/LF	6	1	1.8551076090705225	0.06358086143759124	0.16893149226851656	ns	26.665333333333336	
colon	score	HF/HF	LF/HF	6	7	0.6465821132915207	0.5179024374092511	0.6703337223346633	ns	28.67866666666667	
colon	score	HF/HF	LF/LF	6	3	1.9851219364561539	0.04713090673924967	0.16893149226851656	ns	30.692	
colon	score	HF/LF	LF/HF	1	7	-1.5378400353015518	0.12408773200438827	0.21719478876641357	ns	32.705333333333336	
colon	score	HF/LF	LF/LF	1	3	-0.5196603168040094	0.6033003501011969	0.6703337223346633	ns	34.718666666666664	
colon	score	LF/HF	LF/LF	7	3	1.5128535094496776	0.13031687325984814	0.21719478876641357	ns	36.732	
