tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
cecum	score	Chow	HF/HF	21	13	3.5700051442407505	3.5697421749542323e-4	0.0011899140583180774	**	6.6	
cecum	score	Chow	HF/LF	21	25	-0.5322354697777567	0.5945629194670685	0.5945629194670685	ns	6.6	
cecum	score	Chow	LF/HF	21	15	3.1108688451327904	0.0018653777022088385	0.004663444255522096	**	6.6	
cecum	score	Chow	LF/LF	21	22	2.1495167730078557	0.03159345793866083	0.05265576323110138	ns	6.6	
cecum	score	HF/HF	HF/LF	13	25	-4.145222424610285	3.394840165563536e-5	3.394840165563536e-4	***	6.6	
cecum	score	HF/HF	LF/HF	13	15	-0.5494594873979886	0.5826901596207452	0.5945629194670685	ns	6.6	
cecum	score	HF/HF	LF/LF	13	22	-1.7268621503026178	0.08419242342174474	0.12027489060249248	ns	6.6	
cecum	score	HF/LF	LF/HF	25	15	3.702434533632511	2.1354047268331306e-4	0.0010677023634165653	**	6.6	
cecum	score	HF/LF	LF/LF	25	22	2.7822294355809998	0.0053986859215710385	0.010797371843142077	*	6.6	
cecum	score	LF/HF	LF/LF	15	22	-1.1823133787343676	0.23708137899134585	0.2963517237391823	ns	6.6	
colon	score	Chow	HF/HF	21	13	4.358105918322687	1.311928925438709e-5	4.613682087496601e-5	****	16.8	
colon	score	Chow	HF/LF	21	25	0.5932682069801299	0.5530016722861025	0.6144463025401139	ns	16.8	
colon	score	Chow	LF/HF	21	15	4.718452830288656	2.3764505349688345e-6	2.3764505349688346e-5	****	16.8	
colon	score	Chow	LF/LF	21	22	3.006205728145274	0.002645299581375593	0.005290599162751186	**	16.8	
colon	score	HF/HF	HF/LF	13	25	-3.984287918916668	6.768277200292373e-5	1.6920693000730931e-4	***	16.8	
colon	score	HF/HF	LF/HF	13	15	0.15076484226182207	0.8801612210042276	0.8801612210042276	ns	16.8	
colon	score	HF/HF	LF/LF	13	22	-1.7747905076934316	0.07593248426048127	0.09491560532560159	ns	16.8	
colon	score	HF/LF	LF/HF	25	15	4.346367712591853	1.3841046262489802e-5	4.613682087496601e-5	****	16.8	
colon	score	HF/LF	LF/LF	25	22	2.536625239325591	0.01119267000759499	0.01865445001265832	*	16.8	
colon	score	LF/HF	LF/LF	15	22	-2.024805167814441	0.042887374225658144	0.06126767746522592	ns	16.8	
