tissue	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	y.position	groups
cecum	score	Chow	HF/HF	7	12	1.4814778673766238	0.13847927845426602	0.27695855690853205	ns	6.803999999999999	
cecum	score	Chow	HF/LF	7	19	-1.16663674052261	0.2433570994433451	0.38773569555240006	ns	7.030666666666666	
cecum	score	Chow	LF/HF	7	13	0.8217236969621999	0.41123416916209105	0.47224328998503445	ns	7.2573333333333325	
cecum	score	Chow	LF/LF	7	14	1.7472890325430899	0.0805872145597374	0.2014680363993435	ns	7.483999999999999	
cecum	score	HF/HF	HF/LF	12	19	-3.3097045775185028	9.339448774204812e-4	0.004669724387102406	**	7.710666666666665	
cecum	score	HF/HF	LF/HF	12	13	-0.7977441784587	0.42501896098653097	0.47224328998503445	ns	7.937333333333331	
cecum	score	HF/HF	LF/LF	12	14	0.26501002416469277	0.7910017396599207	0.7910017396599207	ns	8.163999999999998	
cecum	score	HF/LF	LF/HF	19	13	2.5033491446904486	0.012302411398941162	0.04100803799647054	*	8.390666666666664	
cecum	score	HF/LF	LF/LF	19	14	3.7608572507906426	1.6933204761123905e-4	0.0016933204761123905	**	8.617333333333331	
cecum	score	LF/HF	LF/LF	13	14	1.0998098336016897	0.27141498688668003	0.38773569555240006	ns	8.843999999999998	
colon	score	Chow	HF/HF	7	12	2.621986960165152	0.008741877570096403	0.017483755140192805	*	12.276	
colon	score	Chow	HF/LF	7	19	-0.10738269259567505	0.9144853844165352	0.9634027062310517	ns	13.249333333333333	
colon	score	Chow	LF/HF	7	13	2.6991303744679147	0.006952093520627866	0.017380233801569663	*	14.222666666666667	
colon	score	Chow	LF/LF	7	14	2.476854849384674	0.0132545793922831	0.02209096565380517	*	15.196	
colon	score	HF/HF	HF/LF	12	19	-3.510609605487846	4.47080454713106e-4	0.00223540227356553	**	16.169333333333334	
colon	score	HF/HF	LF/HF	12	13	0.04588400083367922	0.9634027062310517	0.9634027062310517	ns	17.142666666666667	
colon	score	HF/HF	LF/LF	12	14	-0.25532046564355415	0.7984755943397562	0.9634027062310517	ns	18.116	
colon	score	HF/LF	LF/HF	19	13	3.6474440655313245	2.648619458617253e-4	0.00223540227356553	**	19.089333333333336	
colon	score	HF/LF	LF/LF	19	14	3.390021632593754	6.988710854813266e-4	0.0023295702849377552	**	20.06266666666667	
colon	score	LF/HF	LF/LF	13	14	-0.30846781676162516	0.7577263855491079	0.9634027062310517	ns	21.036	
