metabolite	term	estimate	std.error	statistic	p.value	p.value.adj
Acetic Acid (ug/g)	dietHF/HF	-810.3437499999998	203.3284284593415	-3.9853932681235467	2.071680644410192e-4	3.452801074016987e-4
Acetic Acid (ug/g)	dietHF/LF	-961.5929166666671	168.76123464904248	-5.697949050126382	5.452008628161836e-7	1.363002157040459e-6
Acetic Acid (ug/g)	dietLF/HF	-519.3062500000004	224.7880354707524	-2.3102041392570842	0.024800773879789028	0.024800773879789028
Acetic Acid (ug/g)	dietLF/LF	-648.8216346153849	175.333458475091	-3.7005009782976517	5.12884446645317e-4	6.411055583066462e-4
Propanoic Acid (ug/g)	dietHF/HF	-133.64374999999995	58.49408946584145	-2.284739385131268	0.026358972631670478	0.04393162105278413
Propanoic Acid (ug/g)	dietHF/LF	-180.97125000000008	48.54970272836645	-3.7275459957505124	4.712325880373573e-4	0.0011780814700933931
Propanoic Acid (ug/g)	dietLF/HF	-136.21458333333362	64.66764907055887	-2.106379082757592	0.0399233569257673	0.04990419615720913
n-Butanoic Acid (ug/g)	dietHF/HF	-335.5410714285712	71.24721488647792	-4.709532463313929	2.1514963174865983e-5	2.6893703968582478e-5
n-Butanoic Acid (ug/g)	dietHF/LF	-358.1670454545456	61.57983679732058	-5.816303908589279	4.778037901056979e-7	1.194509475264245e-6
n-Butanoic Acid (ug/g)	dietLF/HF	-333.0458333333336	75.26424497450299	-4.425020585088689	5.5316198088403574e-5	5.5316198088403574e-5
n-Butanoic Acid (ug/g)	dietLF/LF	-331.8432692307692	58.705706214568956	-5.652657818609392	8.46867551819125e-7	1.4114459196985417e-6
