metabolite	term	estimate	std.error	statistic	p.value
2-methyl-Butanoic Acid (ug/g)	(Intercept)	23.40614171720698	5.779539033770846	4.049828469094308	7.546919831563677e-5
2-methyl-Butanoic Acid (ug/g)	purified_diet	8.316075982525568	5.759638988100773	1.4438536859178694	0.15048063925474361
2-methyl-Butanoic Acid (ug/g)	high_fat	-19.943359692987578	4.731695419080689	-4.2148443478769675	3.9129641676290795e-5
2-methyl-Butanoic Acid (ug/g)	high_fiber	-1.3677578788231406	5.330734798481645	-0.25657961435498905	0.797789973079551
2-methyl-propanoic acid (ug/g)	(Intercept)	39.21419994022158	8.485430704263447	4.6213564528337585	6.63345271363249e-6
2-methyl-propanoic acid (ug/g)	purified_diet	7.0164487722452895	8.255315124313194	0.8499310646035486	0.39632678055475545
2-methyl-propanoic acid (ug/g)	high_fat	-27.891027154663526	7.09924190117316	-3.928733172207372	1.1570327410295382e-4
2-methyl-propanoic acid (ug/g)	high_fiber	-8.272915536551876	7.730715257796943	-1.0701358490998731	0.2857807835538208
Acetic Acid (ug/g)	(Intercept)	683.0526142674076	116.44813508900839	5.865723944357795	1.5608662329909763e-8
Acetic Acid (ug/g)	purified_diet	-234.86724476719456	117.17829593676863	-2.004357913635584	0.04621459748779044
Acetic Acid (ug/g)	high_fat	-307.98440837249103	99.62398336637459	-3.091468519581831	0.002239780706745566
Acetic Acid (ug/g)	high_fiber	136.4973857325929	104.72371535746308	1.3034047280186138	0.19375124753367887
Isopentanoic Acid (ug/g)	(Intercept)	18.504534631863507	3.392087773332094	5.455205132762897	1.6917632050368624e-7
Isopentanoic Acid (ug/g)	purified_diet	-4.872332769442361	3.363084763645973	-1.4487689463289615	0.14923337454444432
Isopentanoic Acid (ug/g)	high_fat	-6.674196455391999	2.8685630636084545	-2.3266688956791906	0.02115535975845526
Isopentanoic Acid (ug/g)	high_fiber	-0.40558726344246027	3.1288806649688845	-0.12962695189479004	0.8970139291012358
Pentanoic Acid (ug/g)	(Intercept)	22.851724137931036	2.5151853579500445	9.085503009033065	6.123261147504543e-13
Pentanoic Acid (ug/g)	purified_diet	-18.45172413793104	11.341598953640002	-1.6269067715543846	0.10891214137922876
Pentanoic Acid (ug/g)	high_fat	-1.7000000000000033	15.640058148252628	-0.10869524805378901	0.91380097429522
Pentanoic Acid (ug/g)	high_fiber	NA	NA	NA	NA
Propanoic Acid (ug/g)	(Intercept)	177.07374835457694	34.552567879571406	5.124763779402591	6.918137451137838e-7
Propanoic Acid (ug/g)	purified_diet	-53.146579751216805	33.42306712422114	-1.590116776347625	0.11336461240915685
Propanoic Acid (ug/g)	high_fat	-42.878950484790174	29.421898336699314	-1.4573821850001176	0.146556093445927
Propanoic Acid (ug/g)	high_fiber	7.399148841684562	31.51109793654769	0.23481088651953214	0.814592195763473
n-Butanoic Acid (ug/g)	(Intercept)	251.72619957610934	46.574760983316196	5.404777056532433	1.8361491263010587e-7
n-Butanoic Acid (ug/g)	purified_diet	-224.09709356867359	46.39041284060276	-4.8306768542601715	2.7026103101812855e-6
n-Butanoic Acid (ug/g)	high_fat	-19.238038984051993	39.81103208305068	-0.4832338670326128	0.6294582729092679
n-Butanoic Acid (ug/g)	high_fiber	15.764976894478995	42.217858089582684	0.37341962875110957	0.7092316601590483
