group2	day_post_inf	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_means	group2_means	diff_means	stat_diff_means
HF/HF	-15	Chow	shannon_entropy	25	15	0.15491933384829715	0.8768849114533784	0.9671540459411088	ns	3.9833871189508434	3.9942268237981033	-0.010839704847259934	0
HF/HF	-3	Chow	shannon_entropy	23	19	-3.147424404784894	0.001647156914254521	0.00549052304751507	**	2.6011670859240836	1.6871302607253102	0.9140368251987734	0.9140368251987734
HF/HF	-8	Chow	shannon_entropy	22	18	1.9234091944762812	0.05442868053120967	0.10885736106241933	ns	3.935844002055878	4.221227722955156	-0.285383720899278	0
HF/HF	0	Chow	shannon_entropy	24	18	-3.506927177870187	4.5331318644916595e-4	0.0015110439548305533	**	2.8060754303742788	2.1108456969779175	0.6952297333963613	0.6952297333963613
HF/HF	3	Chow	shannon_entropy	14	1	-1.8215302221567489	0.06852629693041712	0.1713157423260428	ns	3.7869118657595795	2.5191870107703864	1.267724854989193	0
HF/LF	-15	Chow	shannon_entropy	25	32	-0.6175237050638539	0.536889350573043	0.9671540459411088	ns	3.9833871189508434	3.81224811291536	0.17113900603548338	0
HF/LF	-15	HF/HF	shannon_entropy	15	32	-0.6884591954718797	0.4911636576643372	0.9671540459411088	ns	3.9942268237981033	3.81224811291536	0.1819787108827433	0
HF/LF	-3	Chow	shannon_entropy	23	28	-0.9671523552543967	0.3334678760179667	0.4763826800256667	ns	2.6011670859240836	2.621907250344474	-0.020740164420390172	0
HF/LF	-3	HF/HF	shannon_entropy	19	28	2.3671323924383567	0.01792651884469872	0.0298775314078312	*	1.6871302607253102	2.621907250344474	-0.9347769896191636	-0.9347769896191636
HF/LF	-8	Chow	shannon_entropy	22	25	1.6220003801973493	0.10480326672743932	0.17467211121239887	ns	3.935844002055878	4.187212585898464	-0.25136858384258565	0
HF/LF	-8	HF/HF	shannon_entropy	18	25	-0.443666732973463	0.6572835505914216	0.7981794658056547	ns	4.221227722955156	4.187212585898464	0.034015137056692346	0
HF/LF	0	HF/HF	shannon_entropy	18	28	-0.7374869915326239	0.46082625109561276	0.5120291678840142	ns	2.1108456969779175	1.9652003764887351	0.14564532048918233	0
HF/LF	0	Chow	shannon_entropy	24	28	-4.731846253194382	2.2248690603602347e-6	1.1124345301801174e-5	****	2.8060754303742788	1.9652003764887351	0.8408750538855436	0.8408750538855436
HF/LF	3	Chow	shannon_entropy	14	6	-2.511631925835387	0.012017435831723187	0.05152419820965916	ns	3.7869118657595795	2.9956363818923277	0.7912754838672518	0
HF/LF	3	HF/HF	shannon_entropy	1	6	0.6109598099719176	0.5412261874487203	0.7806363525244676	ns	2.5191870107703864	2.9956363818923277	-0.4764493711219413	0
LF/HF	-15	Chow	shannon_entropy	25	19	0.21297255574875118	0.831348368950782	0.9671540459411088	ns	3.9833871189508434	4.063683838320251	-0.0802967193694073	0
LF/HF	-15	HF/HF	shannon_entropy	15	19	0.04117793265211574	0.9671540459411088	0.9671540459411088	ns	3.9942268237981033	4.063683838320251	-0.06945701452214736	0
