term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	13.530156088833186	0.10877891859046597	79.4152659247698	0.001	***
seq_depth	1	4.043021653174163	0.03250483737087844	23.730520004231355	0.001	***
high_fat	1	0.3790295523890457	0.003047298534622034	2.224714371267712	0.035	*
high_fiber	1	1.7203928362539287	0.013831508746077279	10.09784762933633	0.001	***
day_post_inf	1	19.861156155612683	0.15967850440003603	116.57507772383589	0.001	***
study	1	2.305850574335537	0.01853843593973316	13.534192461739126	0.001	***
purified_diet:seq_depth	1	0.5296764084807037	0.004258459883176536	3.1089362574530086	0.006	**
high_fat:high_fiber	1	0.23419844234440745	0.0018828942642296763	1.3746280128503618	0.149	ns
Residual	480	81.7786712291835	0.6574791422707814	NA	NA	
Total	488	124.38215294060709	1	NA	NA	
