term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
high_fat	1	2.028367199393263	0.05799723609383141	6.175334124443676	0.001	***	-8
high_fiber	1	3.651416838925342	0.10440520066952923	11.116684895480873	0.001	***	-8
seq_depth	1	1.270953502401567	0.03634045668117425	3.869399256855126	0.011	*	-8
study	1	1.4635437844885049	0.0418472032223897	4.455737539865941	0.006	**	-8
high_fat:high_fiber	1	0.2822139319438435	0.008069361427660406	0.8591961676601496	0.471	ns	-8
Residual	80	26.27701962055042	0.7513405419054148	NA	NA		-8
Total	85	34.97351487770295	1	NA	NA		-8
high_fat	1	8.803947909731404	0.11998857640272695	17.04444030408066	0.001	***	-3
high_fiber	1	14.433617486164716	0.19671506831521537	27.94347878216544	0.001	***	-3
seq_depth	1	2.7689636872826178	0.037738070960261196	5.360712802479031	0.003	**	-3
study	1	2.375190840285235	0.032371360045827094	4.598368698126018	0.01	**	-3
high_fat:high_fiber	1	0.570002512859439	0.007768536429933029	1.1035246804299959	0.321	ns	-3
Residual	86	44.42149502882953	0.6054183878460363	NA	NA		-3
Total	91	73.37321746515295	1	NA	NA		-3
high_fat	1	1.168059490016749	0.016872168758093872	2.1697933619311285	0.066	+	0
high_fiber	1	4.953964476892455	0.07155810589281991	9.202510085380782	0.001	***	0
seq_depth	1	10.745083089495044	0.15520858034645263	19.9601220316702	0.001	***	0
study	1	2.969147957898983	0.042888196912558886	5.515504633713648	0.003	**	0
high_fat:high_fiber	1	3.635860735395955	0.0525186058011893	6.753993744321235	0.001	***	0
Residual	85	45.757839614302895	0.6609543422888856	NA	NA		0
Total	90	69.22995536400207	1	NA	NA		0
high_fat	1	0.13178111144118979	0.024181042525160856	0.9129294512810547	0.447	ns	3
high_fiber	1	1.2802692666393163	0.23492172164656241	8.869218860751756	0.002	**	3
seq_depth	1	0.7541458441062299	0.13838123329718843	5.224435764096879	0.002	**	3
study	1	1.365296110649211	0.25052363688538654	9.45825251813409	0.002	**	3
high_fat:high_fiber	1	0.33043037889139315	0.06063199009475324	2.28909607142396	0.098	+	3
Residual	11	1.5878469292659676	0.2913603755509484	NA	NA		3
Total	16	5.449769640993308	1	NA	NA		3
