term	df	SumOfSqs	R2	statistic	p.value	signif
purified_diet	1	42.17780524401026	0.11727999710419765	86.79508564678004	0.001	***
seq_depth	1	33.75694363006869	0.09386487106849273	69.4663175714062	0.001	***
high_fat	1	2.923066537564253	0.00812790597039415	6.015197068964503	0.001	***
high_fiber	1	5.571596789198509	0.015492433793618355	11.4654429672223	0.001	***
day_post_inf	1	34.82461190926877	0.09683363940455049	71.6634058077288	0.001	***
study	1	3.7301298192626717	0.010372033629311075	7.676002467731273	0.001	***
purified_diet:seq_depth	1	1.774374075224216	0.0049338410379618286	3.6513741987649477	0.005	**
high_fat:high_fiber	1	1.6203561729852112	0.004505577428129967	3.3344303241694284	0.005	**
Residual	480	233.2545254867894	0.6485897005633441	NA	NA	
Total	488	359.63340966437187	1	NA	NA	
