day_post_inf.y	term	estimate	std.error	statistic	p.value	signif
-3	purified_diet.y	0.20475767725743454	0.08818726310669027	2.3218509118455763	0.02044708097819001	*
-3	seq_depth.y	2.8707249105303153e-6	1.9162369054398493e-6	1.4981054286037638	0.13443086550397204	ns
-3	high_fat.y	0.201464960259174	0.027428120883626245	7.345197329192262	4.3477425792977977e-13	****
-3	high_fiber.y	-0.1165967990636459	0.031666120988759205	-3.682067630103329	2.4410398082397287e-4	***
-3	purified_diet.y:seq_depth.y	-4.5037791133271986e-6	1.970380114971857e-6	-2.285741253225917	0.022484138614124204	*
-3	high_fat.y:high_fiber.y	0.007649406620421263	0.03815074983593272	0.20050475163181675	0.8411278292847918	ns
0	purified_diet.y	-0.22288585826365256	0.08485636511844823	-2.626625097039373	0.00876349126210832	**
0	seq_depth.y	-4.738696970268325e-6	1.5859048137011664e-6	-2.988008441193396	0.0028807678823119486	**
0	high_fat.y	0.13539261193901259	0.030337006306985	4.462952295587547	9.059772501039249e-6	****
0	high_fiber.y	-0.0825621015530974	0.02635318333359766	-3.132908101004975	0.0017842621423260247	**
0	purified_diet.y:seq_depth.y	3.6846390750971405e-6	1.758461285668688e-6	2.095376853119622	0.03640369678519696	*
0	high_fat.y:high_fiber.y	-0.20696452844993785	0.04051029742552439	-5.108936285408149	3.920823282058843e-7	****
3	purified_diet.y	0.2742223236018819	0.17164208363282027	1.5976403793168992	0.1110519516959471	ns
3	seq_depth.y	1.5027034392485425e-6	3.5101311883895116e-6	0.42810463729077886	0.6688459926483676	ns
3	high_fat.y	0.12013758245277742	0.027081078635696348	4.436218515108206	1.238140502691985e-5	****
3	purified_diet.y:seq_depth.y	-3.931282030277037e-6	3.887043371939034e-6	-1.0113810560122292	0.3125532825978512	ns
