sampleid	asv
1_0403_9685	078d1e0322d964e9ce0945b108d2525e
1_0403_9685	1ea43c607013c6b4df5964bfd08807be
1_0403_9685	2be93cb6fdbb7cb2f7c4e7e5c48c91b1
1_0403_9685	43f26f68a504f250e3a0819b6e7bc9d8
1_0403_9685	539f049bd3eae43fe41be294bfa6b8b5
1_0403_9685	54e3f8369dd2263b6ca12b9492fe419d
1_0403_9685	55d263941c18518b38080c592892c949
1_0403_9685	5932d9202e3c58065680e72a65213186
1_0403_9685	5e51f0b907125eb79cf09219ca4139e9
1_0403_9685	63721fe5120f49d8481aa9194b09b54b
1_0403_9685	680dc3d6deb8fda5dfa5643527d15f9a
1_0403_9685	6eb3f747505b027607654373c88891d2
1_0403_9685	837db9efa7c388ac65d7c49853d8335d
1_0403_9685	86e2c0621f63f15e551833709c6f3238
1_0403_9685	8711c39f9ed7000e34d90b9263a3f258
1_0403_9685	88ab9af7bd6d8a09c14a812cb2082a79
1_0403_9685	92c099f3482d20fcdf569983eed63e62
1_0403_9685	98b130d293e8f892f43eb8cd1cab1e71
1_0403_9685	bcaa663b6ba40455634757464f104af0
1_0403_9685	bd43df227877480a648a606e95cfa59b
1_0403_9685	c544ed46d118037e56fb14b964ddb15b
1_0403_9685	ca344e0c09ed83afd9798f6e0febcc31
1_0403_9685	cae2da4e292bc63db3f85b6febdab924
1_0403_9685	db251d627c123240db2e4c4a19893986
1_0403_9685	e1d0794790521a5fa5fd22f9628cb981
1_0403_9685	fe4c45af45a1ced6777398479ca5025b
1_0403_9685	078d1e0322d964e9ce0945b108d2525e
1_0403_9685	2be93cb6fdbb7cb2f7c4e7e5c48c91b1
1_0403_9685	539f049bd3eae43fe41be294bfa6b8b5
1_0403_9685	60d38a56c64b47899fa21068df22d7b2
1_0403_9685	6e44ead3f2ba90c2d92aa0865aa62d2c
1_0403_9685	7c324c9774c3c0884d1e7487b1427a49
1_0403_9685	837db9efa7c388ac65d7c49853d8335d
1_0403_9685	bd43df227877480a648a606e95cfa59b
1_0403_9685	c6f55e9d793c7f85f694481b12c59cc3
1_0403_9685	ca344e0c09ed83afd9798f6e0febcc31
1_0403_9685	e23e4f0b8fa765d71339a609c9949645
1_0403_9685	afa948719de108054c53424f996b0a60
1_0403_9686	078d1e0322d964e9ce0945b108d2525e
1_0403_9686	08927079eb9f5135ebf738cd3b072e4c
1_0403_9686	0c7d1f89bd81138294da46f001b6710a
1_0403_9686	2856b4a2f8c5cef6b9b4c4feeec67a7f
1_0403_9686	2be93cb6fdbb7cb2f7c4e7e5c48c91b1
1_0403_9686	32a0174bb2d68ba6c16999219ccc8843
1_0403_9686	539f049bd3eae43fe41be294bfa6b8b5
1_0403_9686	54e3f8369dd2263b6ca12b9492fe419d
1_0403_9686	5932d9202e3c58065680e72a65213186
1_0403_9686	5e51f0b907125eb79cf09219ca4139e9
1_0403_9686	5f3216e3a6b303b1ea911e594096866b
1_0403_9686	65aca06371031dd4083b76d6038de128
1_0403_9686	680dc3d6deb8fda5dfa5643527d15f9a
1_0403_9686	6eb3f747505b027607654373c88891d2
