sampleid	diet	day_post_inf	mouse_id	high_fat	high_fiber	purified_diet
1_0403_9685	Chow	-15	9685	0	0	0
1_0403_9686	LF/HF	-15	9686	0	1	1
1_0403_9687	HF/HF	-15	9687	1	1	1
1_0403_9688	Chow	-15	9688	0	0	0
1_0403_9689	LF/HF	-15	9689	0	1	1
1_0403_9690	Chow	-15	9690	0	0	0
1_0403_9691	HF/HF	-15	9691	1	1	1
1_0403_9692	LF/HF	-15	9692	0	1	1
1_0403_9693	HF/HF	-15	9693	1	1	1
1_0403_9694	HF/HF	-15	9694	1	1	1
1_0403_9695	Chow	-15	9695	0	0	0
1_0403_9696	Chow	-15	9696	0	0	0
1_0403_9697	LF/HF	-15	9697	0	1	1
1_0403_9698	LF/HF	-15	9698	0	1	1
1_0403_9699	HF/HF	-15	9699	1	1	1
1_0410_9685	Chow	-8	9685	0	0	0
1_0410_9686	LF/HF	-8	9686	0	1	1
1_0410_9687	HF/HF	-8	9687	1	1	1
1_0410_9688	Chow	-8	9688	0	0	0
1_0410_9689	LF/HF	-8	9689	0	1	1
1_0410_9690	Chow	-8	9690	0	0	0
1_0410_9691	HF/HF	-8	9691	1	1	1
1_0410_9692	LF/HF	-8	9692	0	1	1
1_0410_9693	HF/HF	-8	9693	1	1	1
1_0410_9694	HF/HF	-8	9694	1	1	1
1_0410_9695	Chow	-8	9695	0	0	0
1_0410_9696	Chow	-8	9696	0	0	0
1_0410_9697	LF/HF	-8	9697	0	1	1
1_0410_9698	LF/HF	-8	9698	0	1	1
1_0410_9699	HF/HF	-8	9699	1	1	1
1_0415_9687	HF/HF	-3	9687	1	1	1
1_0415_9689	LF/HF	-3	9689	0	1	1
1_0415_9690	Chow	-3	9690	0	0	0
1_0415_9691	HF/HF	-3	9691	1	1	1
1_0415_9693	HF/HF	-3	9693	1	1	1
1_0415_9694	HF/HF	-3	9694	1	1	1
1_0415_9695	Chow	-3	9695	0	0	0
1_0415_9696	Chow	-3	9696	0	0	0
1_0415_9698	LF/HF	-3	9698	0	1	1
1_0415_9699	HF/HF	-3	9699	1	1	1
1_0415_9735	LF/HF	-3	9692	0	1	1
1_0415_9736	LF/HF	-3	9697	0	1	1
