sample	ko	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
1_0403_9685	K00929	078d1e0322d964e9ce0945b108d2525e	52	0.06872757762779894	1	52	0.06872757762779894	0.00649188514357053
1_0403_9685	K00929	1ea43c607013c6b4df5964bfd08807be	60	0.07930105110899878	1	60	0.07930105110899878	0.00749063670411985
1_0403_9685	K00929	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	39	0.05154568322084919	1	39	0.05154568322084919	0.0048689138576779
1_0403_9685	K00929	43f26f68a504f250e3a0819b6e7bc9d8	42	0.05551073577629914	1	42	0.05551073577629914	0.00524344569288389
1_0403_9685	K00929	539f049bd3eae43fe41be294bfa6b8b5	238	0.3145608360656951	1	238	0.3145608360656951	0.02971285892634207
1_0403_9685	K00929	54e3f8369dd2263b6ca12b9492fe419d	110	0.14538526036649774	1	110	0.14538526036649774	0.01373283395755306
1_0403_9685	K00929	55d263941c18518b38080c592892c949	55	0.07269263018324887	1	55	0.07269263018324887	0.00686641697877653
1_0403_9685	K00929	5932d9202e3c58065680e72a65213186	131	0.17314062825464732	1	131	0.17314062825464732	0.016354556803995
1_0403_9685	K00929	5e51f0b907125eb79cf09219ca4139e9	573	0.7573250380909383	1	573	0.7573250380909383	0.07153558052434457
1_0403_9685	K00929	63721fe5120f49d8481aa9194b09b54b	34	0.0449372622950993	1	34	0.0449372622950993	0.00424469413233458
1_0403_9685	K00929	680dc3d6deb8fda5dfa5643527d15f9a	63	0.08326610366444871	1	63	0.08326610366444871	0.00786516853932584
1_0403_9685	K00929	6eb3f747505b027607654373c88891d2	141	0.18635747010614712	2	282	0.37271494021229423	0.03520599250936329
1_0403_9685	K00929	837db9efa7c388ac65d7c49853d8335d	31	0.04097220973964936	1	31	0.04097220973964936	0.00387016229712858
1_0403_9685	K00929	86e2c0621f63f15e551833709c6f3238	89	0.1176298924783482	1	89	0.1176298924783482	0.01111111111111111
1_0403_9685	K00929	8711c39f9ed7000e34d90b9263a3f258	131	0.17314062825464732	1	131	0.17314062825464732	0.016354556803995
1_0403_9685	K00929	88ab9af7bd6d8a09c14a812cb2082a79	718	0.9489692449376852	1	718	0.9489692449376852	0.08963795255930088
1_0403_9685	K00929	92c099f3482d20fcdf569983eed63e62	364	0.4810930433945926	1	364	0.4810930433945926	0.04544319600499376
1_0403_9685	K00929	98b130d293e8f892f43eb8cd1cab1e71	47	0.06211915670204903	1	47	0.06211915670204903	0.00586766541822721
1_0403_9685	K00929	bcaa663b6ba40455634757464f104af0	1257	1.6613570207335244	1	1257	1.6613570207335244	0.15692883895131085
1_0403_9685	K00929	bd43df227877480a648a606e95cfa59b	10	0.01321684185149979	1	10	0.01321684185149979	0.00124843945068664
1_0403_9685	K00929	c544ed46d118037e56fb14b964ddb15b	73	0.0964829455159485	1	73	0.0964829455159485	0.00911360799001248
1_0403_9685	K00929	ca344e0c09ed83afd9798f6e0febcc31	7	0.00925178929604985	1	7	0.00925178929604985	8.7390761548064e-4
1_0403_9685	K00929	cae2da4e292bc63db3f85b6febdab924	215	0.2841620998072456	1	215	0.2841620998072456	0.02684144818976279
1_0403_9685	K00929	db251d627c123240db2e4c4a19893986	380	0.5022399903569922	1	380	0.5022399903569922	0.04744069912609238
1_0403_9685	K00929	e1d0794790521a5fa5fd22f9628cb981	162	0.21411283799429667	1	162	0.21411283799429667	0.02022471910112359
1_0403_9685	K00929	fe4c45af45a1ced6777398479ca5025b	2847	3.762834875121992	1	2847	3.762834875121992	0.3554307116104869
1_0403_9685	K01034	078d1e0322d964e9ce0945b108d2525e	52	0.06872757762779894	1	52	0.06872757762779894	0.07133058984910837
1_0403_9685	K01034	2be93cb6fdbb7cb2f7c4e7e5c48c91b1	39	0.05154568322084919	1	39	0.05154568322084919	0.05349794238683127
1_0403_9685	K01034	539f049bd3eae43fe41be294bfa6b8b5	238	0.3145608360656951	1	238	0.3145608360656951	0.32647462277091904
1_0403_9685	K01034	60d38a56c64b47899fa21068df22d7b2	102	0.1348117868852979	1	102	0.1348117868852979	0.13991769547325103
1_0403_9685	K01034	6e44ead3f2ba90c2d92aa0865aa62d2c	16	0.02114694696239967	2	32	0.04229389392479934	0.0438957475994513
1_0403_9685	K01034	7c324c9774c3c0884d1e7487b1427a49	24	0.03172042044359951	1	24	0.03172042044359951	0.03292181069958848
1_0403_9685	K01034	837db9efa7c388ac65d7c49853d8335d	31	0.04097220973964936	1	31	0.04097220973964936	0.04252400548696845
1_0403_9685	K01034	bd43df227877480a648a606e95cfa59b	10	0.01321684185149979	1	10	0.01321684185149979	0.01371742112482853
1_0403_9685	K01034	c6f55e9d793c7f85f694481b12c59cc3	94	0.12423831340409806	1	94	0.12423831340409806	0.1289437585733882
1_0403_9685	K01034	ca344e0c09ed83afd9798f6e0febcc31	7	0.00925178929604985	1	7	0.00925178929604985	0.00960219478737997
1_0403_9685	K01034	e23e4f0b8fa765d71339a609c9949645	100	0.13216841851499797	1	100	0.13216841851499797	0.13717421124828533
1_0403_9685	K15873	afa948719de108054c53424f996b0a60	27.5	0.03634631509162443	1	27.5	0.03634631509162443	1
