Family	day_post_inf	term	estimate	std.error	statistic	p.value	signif
Enterobacteriaceae	0	purified_diet	-0.07105560663078171	0.14570265094531865	-0.487675455249256	0.6267682551124494	ns
Enterobacteriaceae	0	seq_depth	-2.2598526358732143e-6	2.899746363809982e-6	-0.7793276901997697	0.437491102467641	ns
Enterobacteriaceae	0	high_fat	0.06297767739908976	0.04732336670730169	1.3307945266999084	0.18605944943868452	ns
Enterobacteriaceae	0	high_fiber	0.23119304713602398	0.05206788130962401	4.440223825533136	2.1786439557113287e-5	****
Enterobacteriaceae	0	purified_diet:seq_depth	3.5360818672239507e-6	3.125001587116278e-6	1.1315456228254315	0.26033179820566554	ns
Enterobacteriaceae	0	high_fat:high_fiber	-0.26552553973145193	0.07310266526937825	-3.632227891459343	4.315317945432101e-4	***
Enterobacteriaceae	3	purified_diet	-0.018153369268781742	0.0667448911595321	-0.2719814049196961	0.7879624256041766	ns
Enterobacteriaceae	3	seq_depth	2.0420555763347239e-7	1.0475630010000134e-6	0.19493391561036028	0.8470854909382644	ns
Enterobacteriaceae	3	high_fat	0.01394952087916793	0.01885840396556621	0.7396978506048831	0.46665772609454825	ns
Enterobacteriaceae	3	high_fiber	0.05182614801183402	0.02584107567785453	2.00557239404118	0.05630237368437116	+
Enterobacteriaceae	3	purified_diet:seq_depth	2.3583709136115065e-6	1.4621896062947759e-6	1.6129036230723017	0.1198389623462357	ns
Enterobacteriaceae	3	high_fat:high_fiber	0.22549727779193396	0.04475121067680426	5.038908989982145	3.7666602766762306e-5	****
Enterococcaceae	3	purified_diet	0.18176427125699304	0.09133740832917665	1.9900309695882907	0.05809623442843604	+
Enterococcaceae	3	seq_depth	-1.2090781939725674e-6	1.433543270662915e-6	-0.8434193921565074	0.4073218915979363	ns
Enterococcaceae	3	high_fat	-0.058320014413187286	0.02580688519399123	-2.259862589955888	0.033183421140224316	*
Enterococcaceae	3	high_fiber	-0.020643704836778014	0.035362360172435124	-0.5837762167489525	0.5648176885857622	ns
Enterococcaceae	3	purified_diet:seq_depth	-5.598776441567708e-7	2.000941297598488e-6	-0.2798071311880718	0.7820229120409701	ns
Enterococcaceae	3	high_fat:high_fiber	0.38520849565058524	0.06124003697964731	6.290141460538414	1.6767598802363215e-6	****
Lachnospiraceae	-3	purified_diet	0.04354743078102604	0.046634448766005136	0.9338039139163274	0.3524881263480316	ns
Lachnospiraceae	-3	seq_depth	6.769748380176078e-7	1.0138556917960516e-6	0.6677230729141963	0.5057347408003207	ns
Lachnospiraceae	-3	high_fat	0.029092283783895993	0.014511000486302226	2.0048434159559076	0.04748172456424667	*
Lachnospiraceae	-3	high_fiber	-0.011616302623646558	0.019169975342591256	-0.6059633575969092	0.5458105451710314	ns
Lachnospiraceae	-3	purified_diet:seq_depth	-1.1677688866531857e-6	1.0543035645295377e-6	-1.1076211121170587	0.27048622574642384	ns
Lachnospiraceae	-3	high_fat:high_fiber	-0.036859475212186514	0.022692015770980158	-1.6243367528117316	0.10721902550642533	ns
Lachnospiraceae	3	purified_diet	-0.3153619248121947	0.10731640804396994	-2.9386179668162566	0.0071767424086669855	**
Lachnospiraceae	3	seq_depth	-2.7655818177478363e-6	1.6843341342542277e-6	-1.6419436984053954	0.11364214580302111	ns
Lachnospiraceae	3	high_fat	-0.005897477572198568	0.030321664173358912	-0.19449716013213364	0.8474236231931872	ns
Lachnospiraceae	3	high_fiber	-0.0496260230607155	0.041548819296316986	-1.1944027267488322	0.2439917916380965	ns
Lachnospiraceae	3	purified_diet:seq_depth	4.696469535459049e-6	2.350995464982072e-6	1.9976514652676551	0.0572104265905721	+
Lachnospiraceae	3	high_fat:high_fiber	0.03025399988606876	0.07195365970370185	0.42046506057720734	0.6778866933500711	ns
Staphylococcaceae	-3	purified_diet	0.08835876113964061	0.13496012546748262	0.6547027192926687	0.5140510934029234	ns
Staphylococcaceae	-3	seq_depth	-6.893529893623726e-9	2.9340990403313355e-6	-0.0023494537160699486	0.9981297431451057	ns
Staphylococcaceae	-3	high_fat	-0.049322684899333884	0.04199484497214983	-1.1744937963705722	0.24278049333211452	ns
Staphylococcaceae	-3	high_fiber	-0.07598717850809279	0.055477921277170286	-1.3696832317933705	0.17362691889914098	ns
Staphylococcaceae	-3	purified_diet:seq_depth	-1.7633822619351937e-6	3.051155210682884e-6	-0.5779392197948947	0.56450823144556594	ns
Staphylococcaceae	-3	high_fat:high_fiber	0.028508853113954274	0.065670708598448	0.4341182503188039	0.6650686009443074	ns
Staphylococcaceae	0	purified_diet	0.15456754244854096	0.10365463340879902	1.4911783232974132	0.13882977310801245	ns
Staphylococcaceae	0	seq_depth	-4.3783164789333304e-10	2.062914740185644e-6	-2.1223933270937416e-4	0.9998310490520759	ns
Staphylococcaceae	0	high_fat	0.00750501010716246	0.03366641715775265	0.22292274440715823	0.8240167054399601	ns
Staphylococcaceae	0	high_fiber	-0.004444333477957113	0.03704172240179368	-0.11998182562217743	0.9047204600988797	ns
Staphylococcaceae	0	purified_diet:seq_depth	-3.692953368168891e-6	2.2231640386283603e-6	-1.661125002025202	0.09958873219442577	+
Staphylococcaceae	0	high_fat:high_fiber	-0.016989268203429105	0.05200612288480126	-0.32667823058184947	0.7445435158036914	ns
