day_post_inf	term	estimate	std.error	statistic	p.value	signif
-8	purified_diet	0.7094100670917728	0.6240437548472626	1.1367953954853758	0.25834059971367135	ns
-8	seq_depth	1.396625898331283e-5	1.5463234693414555e-5	0.9031912960139411	0.3685949124024104	ns
-8	high_fat	-0.35835189242929255	0.14223299385166313	-2.519470923905483	0.013336868431203961	*
-8	high_fiber	-0.40927578444620444	0.15898635281852064	-2.574282491487704	0.011510422355071341	*
-8	study	0.048794794976008	0.027086668214217444	1.8014321506842337	0.07464840299399508	+
-8	purified_diet:seq_depth	-1.4263166383423978e-5	1.6464517891089995e-5	-0.8662972385691713	0.3884009508836135	ns
-8	high_fat:high_fiber	0.47778268593004913	0.22288060476809604	2.14367098665752	0.034484019979245696	*
-3	purified_diet	1.088582196250207	0.8371969986608944	1.3002700654581967	0.19630222162102318	ns
-3	seq_depth	3.612026637650685e-5	1.8289210305789802e-5	1.974949479643322	0.050849899307911714	+
-3	high_fat	0.7963556017627812	0.2579915169613735	3.0867511115957025	0.0025768966945563243	**
-3	high_fiber	0.345369701936101	0.34081834670104816	1.0133541966830943	0.3131770034306858	ns
-3	study	0.13242812944941137	0.04694562007565152	2.820883593315143	0.005709341947321252	**
-3	purified_diet:seq_depth	-4.7029892891177756e-5	1.892924643190915e-5	-2.4845095160206254	0.014522817689824842	*
-3	high_fat:high_fiber	-0.9056765529054813	0.4034347786846233	-2.2449144217521093	0.026830446904923467	*
0	purified_diet	0.04939252685713953	0.6364972751330131	0.07760053151337945	0.9382907451897982	ns
0	seq_depth	1.0679962827759453e-5	1.2876690807856077e-5	0.8294027547235662	0.40872304748480015	ns
0	high_fat	0.14634979438934614	0.20702783541165765	0.7069087791906906	0.48115982765043896	ns
0	high_fiber	0.4757578399186745	0.22622501137226658	2.103029355740807	0.037808075563108154	*
0	study	-0.026271923707117225	0.03692749005031282	-0.71144623345162	0.4783559143237872	ns
0	purified_diet:seq_depth	-1.535620779669758e-5	1.3620942560547936e-5	-1.1273968543979997	0.26209654266273735	ns
0	high_fat:high_fiber	-0.25054142374528504	0.31804141276587455	-0.7877635228897707	0.4325766783683802	ns
3	purified_diet	-2.661704307892633	0.8698219032235255	-3.060056659907577	0.005547729421353645	**
3	seq_depth	-2.9274880109696484e-5	1.7070806491360756e-5	-1.714909024627044	0.09980659123863907	+
3	high_fat	-0.03222940045982481	0.24577814805854212	-0.13113208279260066	0.8968111009226294	ns
3	high_fiber	-0.04161769906735718	0.34883914394392646	-0.11930340900632111	0.9060709271268957	ns
3	study	-0.14983608580676164	0.040176627978297255	-3.729434085102926	0.0010987234332706245	**
3	purified_diet:seq_depth	4.080305482528003e-5	1.9286418210129208e-5	2.1156367336185995	0.045415151991921344	*
3	high_fat:high_fiber	-0.3468505639877035	0.6012629925462027	-0.5768699691941385	0.5696309908770623	ns
