group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	253	171	-0.017649076301093827	0.9859188055356828	0.9859188055356828	ns	0.5161518994537179	0.5332884238296098	-0.01713652437589197	0
HF/HF	-8	Chow	dist	231	153	0.5685059714265697	0.5696914521366595	0.6329905023740662	ns	0.4435531421622111	0.4565553699836293	-0.013002227821418189	0
HF/HF	0	Chow	dist	276	153	1.0971765334679007	0.2725642292758385	0.3028491436398206	ns	0.47076720094150415	0.4928191525450617	-0.02205195160355755	0
HF/LF	-3	Chow	dist	253	378	10.975142230848704	5.032659316832954e-28	5.0326593168329536e-27	****	0.5161518994537179	0.6558936176209128	-0.13974171816719494	-0.13974171816719494
HF/LF	-3	HF/HF	dist	171	378	9.692298661188218	3.251273726409738e-22	1.625636863204869e-21	****	0.5332884238296098	0.6558936176209128	-0.12260519379130297	-0.12260519379130297
HF/LF	-8	HF/HF	dist	153	300	-0.0018144968564744483	0.9985522417670266	0.9985522417670266	ns	0.4565553699836293	0.45485922064069256	0.0016961493429367147	0
HF/LF	-8	Chow	dist	231	300	0.6749089462983752	0.49973361626736945	0.6246670203342118	ns	0.4435531421622111	0.45485922064069256	-0.011306078478481474	0
HF/LF	0	HF/HF	dist	153	378	12.43993701885744	1.5862894660444884e-35	7.931447330222443e-35	****	0.4928191525450617	0.6829241674114457	-0.19010501486638398	-0.19010501486638398
HF/LF	0	Chow	dist	276	378	16.45190351383312	8.127329842626151e-61	8.127329842626151e-60	****	0.47076720094150415	0.6829241674114457	-0.21215696646994153	-0.21215696646994153
LF/HF	-3	Chow	dist	253	153	0.1861372343716954	0.852337143310472	0.9470412703449689	ns	0.5161518994537179	0.5348393972626262	-0.018687497808908327	0
LF/HF	-3	HF/HF	dist	171	153	0.18700231488691296	0.8516588179465424	0.9470412703449689	ns	0.5332884238296098	0.5348393972626262	-0.001550973433016356	0
LF/HF	-3	HF/LF	dist	378	153	-9.104911349441533	8.633691734451452e-20	2.8778972448171507e-19	****	0.6558936176209128	0.5348393972626262	0.12105422035828661	0.12105422035828661
LF/HF	-8	HF/HF	dist	153	136	1.1569778827849253	0.2472813966791009	0.3532591381130013	ns	0.4565553699836293	0.49038469709666227	-0.03382932711303299	0
LF/HF	-8	Chow	dist	231	136	1.8098066116447784	0.07032578226801932	0.14065156453603864	ns	0.4435531421622111	0.49038469709666227	-0.04683155493445118	0
LF/HF	-8	HF/LF	dist	300	136	1.3207463380900997	0.18658595776727918	0.31097659627879864	ns	0.45485922064069256	0.49038469709666227	-0.03552547645596971	0
LF/HF	0	Chow	dist	276	136	1.7799468562984997	0.07508465837020815	0.0938558229627602	ns	0.47076720094150415	0.4962267204291227	-0.025459519487618543	0
LF/HF	0	HF/HF	dist	153	136	0.6439694511443982	0.5195952438120643	0.5195952438120643	ns	0.4928191525450617	0.4962267204291227	-0.0034075678840609913	0
LF/HF	0	HF/LF	dist	378	136	-11.161876594118258	6.265486465741631e-29	2.088495488580544e-28	****	0.6829241674114457	0.4962267204291227	0.186697446982323	0.186697446982323
LF/LF	-3	Chow	dist	253	351	7.449774097781754	9.35001917452032e-14	2.33750479363008e-13	****	0.5161518994537179	0.6172942324127044	-0.10114233295898656	-0.10114233295898656
LF/LF	-3	HF/HF	dist	171	351	6.6068950686307995	3.9246400335550245e-11	7.849280067110049e-11	****	0.5332884238296098	0.6172942324127044	-0.08400580858309459	-0.08400580858309459
LF/LF	-3	LF/HF	dist	153	351	6.145303651260461	7.981068512348706e-10	1.3301780853914511e-9	****	0.5348393972626262	0.6172942324127044	-0.08245483515007823	-0.08245483515007823
LF/LF	-3	HF/LF	dist	378	351	-3.7382753022524278	1.8528698923953903e-4	2.646956989136272e-4	***	0.6558936176209128	0.6172942324127044	0.03859938520820838	0.03859938520820838
LF/LF	-8	HF/LF	dist	300	325	-4.886669494042597	1.0255604016979761e-6	5.127802008489881e-6	****	0.45485922064069256	0.4111900937017329	0.04366912693895969	0.04366912693895969
LF/LF	-8	HF/HF	dist	153	325	-3.99230913546969	6.543299429014817e-5	2.1810998096716058e-4	***	0.4565553699836293	0.4111900937017329	0.045365276281896405	0.045365276281896405
LF/LF	-8	Chow	dist	231	325	-3.859836870705974	1.1346274352027313e-4	2.836568588006828e-4	***	0.4435531421622111	0.4111900937017329	0.032363048460478216	0.032363048460478216
LF/LF	-8	LF/HF	dist	136	325	-5.167875371206638	2.3677010072505746e-7	2.3677010072505745e-6	****	0.49038469709666227	0.4111900937017329	0.0791946033949294	0.0791946033949294
LF/LF	0	HF/LF	dist	378	378	-8.506942197153535	1.785805056411907e-17	3.571610112823814e-17	****	0.6829241674114457	0.5930261535870988	0.08989801382434692	0.08989801382434692
LF/LF	0	Chow	dist	276	378	8.636450677982353	5.798641823764238e-18	1.4496604559410596e-17	****	0.47076720094150415	0.5930261535870988	-0.12225895264559461	-0.12225895264559461
LF/LF	0	HF/HF	dist	153	378	5.982102165561496	2.202760291807496e-9	3.6712671530124936e-9	****	0.4928191525450617	0.5930261535870988	-0.10020700104203706	-0.10020700104203706
LF/LF	0	LF/HF	dist	136	378	4.973505136258422	6.575303089604011e-7	9.39329012800573e-7	****	0.4962267204291227	0.5930261535870988	-0.09679943315797607	-0.09679943315797607
