group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	200	110	1.6889417376884817	0.0912305957237884	0.13032942246255486	ns	0.8063059886667634	0.820702435742336	-0.014396447075572638	0
HF/HF	0	Chow	dist	200	110	5.577884223515753	2.4346159867630154e-8	4.869231973526031e-8	****	0.7558530476003259	0.8000951560482193	-0.04424210844789345	-0.04424210844789345
HF/HF	3	Chow	dist	145	13	4.428213095818768	9.501700197390678e-6	1.9003400394781357e-5	****	0.6758960977257246	0.7969123650855362	-0.12101626735981164	-0.12101626735981164
HF/LF	-3	Chow	dist	200	295	-7.230839665498505	4.800168033102072e-13	1.600056011034024e-12	****	0.8063059886667634	0.7603820920623329	0.045923896604430525	0.045923896604430525
HF/LF	-3	HF/HF	dist	110	295	-7.723089561780094	1.1354333324854498e-14	5.677166662427249e-14	****	0.820702435742336	0.7603820920623329	0.06032034368000316	0.06032034368000316
HF/LF	0	HF/HF	dist	110	295	4.423377960345168	9.716953057641119e-6	1.61949217627352e-5	****	0.8000951560482193	0.8292562812643942	-0.029161125216174866	-0.029161125216174866
HF/LF	0	Chow	dist	200	295	12.623813360901975	1.56076420959229e-36	1.5607642095922902e-35	****	0.7558530476003259	0.8292562812643942	-0.07340323366406831	-0.07340323366406831
HF/LF	3	HF/HF	dist	13	100	-6.34753350270862	2.1879434160186418e-10	2.1879434160186417e-9	****	0.7969123650855362	0.6233450775017628	0.17356728758377338	0.17356728758377338
HF/LF	3	Chow	dist	145	100	-4.534201848676325	5.782171442609996e-6	1.445542860652499e-5	****	0.6758960977257246	0.6233450775017628	0.05255102022396174	0.05255102022396174
LF/HF	-3	Chow	dist	200	128	-0.8616485238807153	0.38888096025035235	0.43208995583372484	ns	0.8063059886667634	0.7873434502977518	0.018962538369011628	0
LF/HF	-3	HF/HF	dist	110	128	-2.2922153369431966	0.02189322037355427	0.04378644074710854	*	0.820702435742336	0.7873434502977518	0.033358985444584266	0.033358985444584266
LF/HF	-3	HF/LF	dist	295	128	5.336153249201334	9.493916886897207e-8	2.3734792217243018e-7	****	0.7603820920623329	0.7873434502977518	-0.026961358235418897	-0.026961358235418897
LF/HF	0	HF/HF	dist	110	116	-3.4592513814909016	5.416790950335003e-4	6.770988687918754e-4	***	0.8000951560482193	0.7578500041854843	0.04224515186273503	0.04224515186273503
LF/HF	0	Chow	dist	200	116	1.7286713069804132	0.08386793947129402	0.09318659941254892	ns	0.7558530476003259	0.7578500041854843	-0.001996956585158416	0
LF/HF	0	HF/LF	dist	295	116	-8.709917212274398	3.0409681145865097e-18	1.5204840572932548e-17	****	0.8292562812643942	0.7578500041854843	0.0714062770789099	0.0714062770789099
LF/HF	3	Chow	dist	145	12	3.4779749009236682	5.052172289849277e-4	6.315215362311596e-4	***	0.6758960977257246	0.7746346661023478	-0.0987385683766232	-0.0987385683766232
LF/HF	3	HF/HF	dist	13	12	-0.5928132785261695	0.5533061202380656	0.6147845780422951	ns	0.7969123650855362	0.7746346661023478	0.022277698983188432	0
LF/HF	3	HF/LF	dist	100	12	5.348881465135009	8.849947812657952e-8	4.424973906328976e-7	****	0.6233450775017628	0.7746346661023478	-0.15128958860058495	-0.15128958860058495
LF/LF	-3	Chow	dist	200	275	1.2879394556310138	0.197767039543712	0.24720879942964	ns	0.8063059886667634	0.8146708150483761	-0.008364826381612733	0
LF/LF	-3	HF/HF	dist	110	275	-0.7161730714552498	0.4738844885227956	0.4738844885227956	ns	0.820702435742336	0.8146708150483761	0.006031620693959905	0
LF/LF	-3	LF/HF	dist	128	275	2.0301319830058326	0.04234312529986357	0.07057187549977262	ns	0.7873434502977518	0.8146708150483761	-0.02732736475062436	0
LF/LF	-3	HF/LF	dist	295	275	9.329331912000708	1.0654032894988012e-20	1.0654032894988012e-19	****	0.7603820920623329	0.8146708150483761	-0.05428872298604326	-0.05428872298604326
LF/LF	0	HF/LF	dist	295	259	-6.01835422468509	1.761992883453149e-9	4.404982208632873e-9	****	0.8292562812643942	0.7962460908856833	0.03301019037871089	0.03301019037871089
LF/LF	0	HF/HF	dist	110	259	-0.16085507173543942	0.8722075489663323	0.8722075489663323	ns	0.8000951560482193	0.7962460908856833	0.003849065162536025	0
LF/LF	0	Chow	dist	200	259	6.8394484364088175	7.949866640300024e-12	2.6499555467666748e-11	****	0.7558530476003259	0.7962460908856833	-0.04039304328535742	-0.04039304328535742
LF/LF	0	LF/HF	dist	116	259	3.956873857113083	7.593700386499666e-5	1.0848143409285238e-4	***	0.7578500041854843	0.7962460908856833	-0.038396086700199006	-0.038396086700199006
LF/LF	3	HF/LF	dist	100	105	3.8072000939556006	1.405490246007406e-4	2.3424837433456765e-4	***	0.6233450775017628	0.6741917608876565	-0.05084668338589371	-0.05084668338589371
LF/LF	3	Chow	dist	145	105	-0.4480583215515366	0.6541111063926044	0.6541111063926044	ns	0.6758960977257246	0.6741917608876565	0.0017043368380680324	0
LF/LF	3	HF/HF	dist	13	105	-4.555680765107121	5.221618833453747e-6	1.445542860652499e-5	****	0.7969123650855362	0.6741917608876565	0.12272060419787967	0.12272060419787967
LF/LF	3	LF/HF	dist	12	105	-3.616835943468554	2.982261867034162e-4	4.2603740957630884e-4	***	0.7746346661023478	0.6741917608876565	0.10044290521469124	0.10044290521469124
