term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
seq_depth	1	1.0251734990512684	0.07033626594757904	9.214896516911278	0.001	***	-15
study	1	0.5336888260517807	0.036615928169395705	4.7971268364332555	0.004	**	-15
Residual	117	13.016456470115916	0.8930478058830253	NA	NA		-15
Total	119	14.575318795218964	1	NA	NA		-15
purified_diet	1	1.7671452909956513	0.12495353194349477	17.346635614101274	0.001	***	-8
seq_depth	1	0.457236737205847	0.03233087032475969	4.4883231221025435	0.001	***	-8
high_fat	1	0.22637705277431186	0.01600695338365293	2.2221603768967206	0.023	*	-8
high_fiber	1	0.7396736676859588	0.05230177605310826	7.260777963234115	0.001	***	-8
study	1	0.4930087332299702	0.0348602816134967	4.839467865764185	0.001	***	-8
purified_diet:seq_depth	1	0.13146794119824756	0.009296000546058747	1.2905144147016856	0.182	ns	-8
high_fat:high_fiber	1	0.14025938085962553	0.009917636719470593	1.3768128651496159	0.173	ns	-8
Residual	100	10.187250890075303	0.7203329494159586	NA	NA		-8
Total	107	14.14241969402491	1	NA	NA		-8
purified_diet	1	1.4093242525324452	0.06033990716783958	8.430832515469	0.001	***	-3
seq_depth	1	1.3659002510317666	0.05848071811698859	8.17106228647745	0.001	***	-3
high_fat	1	0.40806803111423084	0.0174713427881132	2.4411367497999326	0.001	***	-3
high_fiber	1	0.8187275195338453	0.035053638249435054	4.897776065793144	0.001	***	-3
study	1	0.9128526407462596	0.039083584563005626	5.460849560777801	0.001	***	-3
purified_diet:seq_depth	1	0.2712682692159847	0.011614291141772716	1.6227758377190564	0.061	+	-3
high_fat:high_fiber	1	0.2838260146660492	0.012151948244694675	1.6978985417179002	0.052	+	-3
Residual	107	17.886453650251752	0.7658045697281503	NA	NA		-3
Total	114	23.35642062909234	1	NA	NA		-3
purified_diet	1	2.140276804668594	0.09152027345148421	13.900515368292734	0.001	***	0
seq_depth	1	1.6307936927871518	0.06973429062132279	10.591561212855723	0.001	***	0
high_fat	1	0.33951796576863025	0.014518111396179001	2.2050767875836077	0.014	*	0
high_fiber	1	1.1852032371862515	0.050680418591774544	7.697572471523753	0.001	***	0
study	1	1.2242941073471814	0.05235198140962171	7.951457034607675	0.001	***	0
purified_diet:seq_depth	1	0.17968740613709144	0.007683604527032616	1.1670208007903238	0.316	ns	0
high_fat:high_fiber	1	0.21114731534140052	0.009028860190625652	1.3713443492330712	0.161	ns	0
Residual	107	16.47490125595729	0.7044824598119593	NA	NA		0
Total	114	23.385821785193592	1	NA	NA		0
purified_diet	1	0.9153303070615709	0.172693056401887	10.747225707959299	0.001	***	3
seq_depth	1	0.8982114423412525	0.16946328344684014	10.546226897372655	0.001	***	3
high_fat	1	0.15632912903301244	0.029494221800677144	1.8355171040277412	0.097	+	3
high_fiber	1	0.2358472136001204	0.04449669790922129	2.7691678267387267	0.022	*	3
study	1	0.7262632214007652	0.13702224703845833	8.527320360275807	0.001	***	3
purified_diet:seq_depth	1	0.35326038932672743	0.06664874512283518	4.147758583416526	0.002	**	3
high_fat:high_fiber	1	0.05620232959906968	0.010603551527237602	0.6598919721705373	0.673	ns	3
Residual	23	1.9588866591705398	0.36957819675284365	NA	NA		3
Total	30	5.300330691533056	1	NA	NA		3
