term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
high_fat	1	0.21362584202349325	0.021010618803365355	2.1004031474966975	0.055	+	-8
high_fiber	1	0.7843258188997304	0.07714034333321589	7.711615800202428	0.001	***	-8
seq_depth	1	0.4366455419998686	0.0429451462812218	4.2931681957095105	0.001	***	-8
study	1	0.45551219170002666	0.044800726960000606	4.478668086722563	0.002	**	-8
high_fat:high_fiber	1	0.14084317161974624	0.013852266944530145	1.3847923929587098	0.169	ns	-8
Residual	80	8.136565298070394	0.8002508976776666	NA	NA		-8
Total	85	10.167517864313256	1	NA	NA		-8
high_fat	1	0.4267581168224229	0.022827587678648592	2.4522249311994226	0.005	**	-3
high_fiber	1	1.5828846506354228	0.08466959788981013	9.095525194465672	0.001	***	-3
seq_depth	1	0.416786501348279	0.022294199050381432	2.3949263278310786	0.005	**	-3
study	1	1.017961495286619	0.05445146646575173	5.849380385145919	0.001	***	-3
high_fat:high_fiber	1	0.2839607662603698	0.015189258349366313	1.6316869979907638	0.068	+	-3
Residual	86	14.966489239947991	0.8005678905660417	NA	NA		-3
Total	91	18.694840770301106	1	NA	NA		-3
high_fat	1	0.4461472093357771	0.024211883189457536	2.770332275593463	0.006	**	0
high_fiber	1	1.6954195830987984	0.092008422431289	10.527636379760194	0.001	***	0
seq_depth	1	1.0329791675873308	0.05605856188140886	6.414240564775327	0.001	***	0
study	1	1.347984669953704	0.07315353920668652	8.370253943171946	0.001	***	0
high_fat:high_fiber	1	0.2154603699187616	0.011692780318399792	1.3378920777873087	0.166	ns	0
Residual	85	13.688795790901025	0.7428748129727587	NA	NA		0
Total	90	18.42678679079539	1	NA	NA		0
high_fat	1	0.26188507003631195	0.10638821683281155	4.382126107545844	0.027	*	3
high_fiber	1	0.21991314778073984	0.08933753897173084	3.6798094146754767	0.03	*	3
seq_depth	1	0.5379549144366217	0.21853885781050564	9.001606219508597	0.003	**	3
study	1	0.7325125829669887	0.29757598437608257	12.25714208710104	0.001	***	3
high_fat:high_fiber	1	0.05194960979625729	0.02110401463748141	0.8692734615739391	0.401	ns	3
Residual	11	0.657383128577455	0.2670553873713878	NA	NA		3
Total	16	2.461598453594375	1	NA	NA		3
