term	df	SumOfSqs	R2	statistic	p.value	signif	day_post_inf
study	1	0.8669909406331171	0.05948349760401192	7.462976672277627	0.001	***	-15
Residual	118	13.708327854585852	0.9405165023959884	NA	NA		-15
Total	119	14.575318795218964	1	NA	NA		-15
purified_diet	1	1.7671452909956513	0.12495353194349477	16.960841972001347	0.001	***	-8
high_fat	1	0.21362584202349333	0.015105324735465813	2.0503544140701395	0.046	*	-8
high_fiber	1	0.7843258188997295	0.05545909652441602	7.5278622174998056	0.001	***	-8
study	1	0.6112100509994511	0.04321820906345212	5.866318485255826	0.001	***	-8
high_fat:high_fiber	1	0.13876176247298133	0.009811741234889766	1.3318182364816178	0.187	ns	-8
Residual	102	10.627350928633609	0.7514520964982818	NA	NA		-8
Total	107	14.14241969402491	1	NA	NA		-8
purified_diet	1	1.4093242525324452	0.06033990716783958	8.249279967309088	0.001	***	-3
high_fat	1	0.42675811682242215	0.018271554687230622	2.497968212541429	0.002	**	-3
high_fiber	1	1.5828846506354242	0.06777085734891293	9.265191183352062	0.001	***	-3
study	1	1.012500473619057	0.043349984558760025	5.926528163343562	0.001	***	-3
high_fat:high_fiber	1	0.3031650358185596	0.012979944171794142	1.7745336123129056	0.034	*	-3
Residual	109	18.62178809966443	0.7972877520654625	NA	NA		-3
Total	114	23.35642062909234	1	NA	NA		-3
purified_diet	1	2.140276804668594	0.09152027345148421	13.538818660498384	0.001	***	0
high_fat	1	0.44614720933578056	0.019077679349213738	2.8222079265209064	0.005	**	0
high_fiber	1	1.695419583098798	0.07249775520705581	10.724770851584616	0.001	***	0
study	1	1.6186792023144605	0.06921626347718535	10.23933172655629	0.001	***	0
high_fat:high_fiber	1	0.25409310593525447	0.010865263075601216	1.6073250322744552	0.08	+	0
Residual	109	17.2312058798407	0.7368227654394596	NA	NA		0
Total	114	23.385821785193592	1	NA	NA		0
purified_diet	1	0.9153303070615709	0.172693056401887	9.640099856087518	0.001	***	3
high_fat	1	0.2618850700363119	0.04940919449698804	2.7581280839187814	0.026	*	3
high_fiber	1	0.2199131477807399	0.041490457969356	2.3160870867244867	0.042	*	3
study	1	1.4552041489750795	0.27454969013531105	15.325957415467716	0.001	***	3
high_fat:high_fiber	1	0.07424068962751207	0.014006803338913718	0.7818900520092531	0.573	ns	3
Residual	25	2.373757328051844	0.4478507976575445	NA	NA		3
Total	30	5.300330691533056	1	NA	NA		3
