group2	day_post_inf.y	group1	.y.	n1	n2	statistic	p	p.adj	p.adj.signif	group1_dist	group2_dist	diff_means	stat_diff_means
HF/HF	-3	Chow	dist	253	171	-4.416300461322599	1.0040449839116424e-5	1.2160759608526396e-5	****	0.8713452636731518	0.6584185002944698	0.212926763378682	0.212926763378682
HF/HF	-8	Chow	dist	231	153	6.1414839181712075	8.175410390104473e-10	2.043852597526118e-9	****	0.48343987500801755	0.6838076389335005	-0.20036776392548294	-0.20036776392548294
HF/HF	0	Chow	dist	276	153	-1.3956524946874305	0.1628191662596166	0.20352395782452073	ns	0.8638482052765346	0.7933390856054107	0.07050911967112394	0
HF/LF	-3	Chow	dist	253	378	5.389643636867904	7.059753505691191e-8	1.0085362150987416e-7	****	0.8713452636731518	1.041200818640187	-0.1698555549670353	-0.1698555549670353
HF/LF	-3	HF/HF	dist	171	378	9.494318019921437	2.216574972490172e-21	5.54143743122543e-21	****	0.6584185002944698	1.041200818640187	-0.3827823183457173	-0.3827823183457173
HF/LF	-8	HF/HF	dist	153	300	5.017280776555604	5.240794879805423e-7	8.734658133009039e-7	****	0.6838076389335005	0.8786502511522308	-0.19484261221873034	-0.19484261221873034
HF/LF	-8	Chow	dist	231	300	13.007356585850113	1.1111981393690803e-38	1.1111981393690802e-37	****	0.48343987500801755	0.8786502511522308	-0.3952103761442133	-0.3952103761442133
HF/LF	0	HF/HF	dist	153	378	8.18061665693161	2.82394948987118e-16	2.2609356267898307e-15	****	0.7933390856054107	1.147122164904168	-0.3537830792987574	-0.3537830792987574
HF/LF	0	Chow	dist	276	378	8.123698798467498	4.521871253579661e-16	2.2609356267898307e-15	****	0.8638482052765346	1.147122164904168	-0.28327395962763346	-0.28327395962763346
LF/HF	-3	Chow	dist	253	153	-7.257642624781142	3.938945715426504e-13	6.56490952571084e-13	****	0.8713452636731518	0.5211301069771609	0.3502151566959909	0.3502151566959909
LF/HF	-3	HF/HF	dist	171	153	-2.750440472801341	0.00595152038633395	0.00595152038633395	**	0.6584185002944698	0.5211301069771609	0.1372883933173089	0.1372883933173089
LF/HF	-3	HF/LF	dist	378	153	-12.325970237760021	6.564853951029886e-35	2.1882846503432955e-34	****	1.041200818640187	0.5211301069771609	0.5200707116630262	0.5200707116630262
LF/HF	-8	HF/HF	dist	153	136	2.2890501751380774	0.022076437267742777	0.03153776752534682	*	0.6838076389335005	0.7736645675035131	-0.0898569285700126	-0.0898569285700126
LF/HF	-8	Chow	dist	231	136	8.41875973438073	3.8049082252018846e-17	1.2683027417339615e-16	****	0.48343987500801755	0.7736645675035131	-0.29022469249549554	-0.29022469249549554
LF/HF	-8	HF/LF	dist	300	136	-2.212063981776991	0.02696224438379289	0.03370280547974111	*	0.8786502511522308	0.7736645675035131	0.10498568364871774	0.10498568364871774
LF/HF	0	Chow	dist	276	136	4.971761608341166	6.634725805465511e-7	1.105787634244252e-6	****	0.8638482052765346	1.0944256171847604	-0.23057741190822578	-0.23057741190822578
LF/HF	0	HF/HF	dist	153	136	5.6134212102592125	1.9836494541687597e-8	3.9672989083375194e-8	****	0.7933390856054107	1.0944256171847604	-0.3010865315793497	-0.3010865315793497
LF/HF	0	HF/LF	dist	378	136	-1.2232723175991476	0.22122685914780685	0.24580762127534095	ns	1.147122164904168	1.0944256171847604	0.05269654771940768	0
LF/LF	-3	Chow	dist	253	351	9.260948858814096	2.0262345466211027e-20	4.0524690932422054e-20	****	0.8713452636731518	1.273881521895707	-0.4025362582225551	-0.4025362582225551
LF/LF	-3	HF/HF	dist	171	351	12.877989751991468	5.987482331174408e-38	2.9937411655872036e-37	****	0.6584185002944698	1.273881521895707	-0.6154630216012371	-0.6154630216012371
LF/LF	-3	LF/HF	dist	153	351	15.556450292450595	1.438592377673627e-54	1.438592377673627e-53	****	0.5211301069771609	1.273881521895707	-0.752751414918546	-0.752751414918546
LF/LF	-3	HF/LF	dist	378	351	4.397615120934493	1.0944683647673756e-5	1.2160759608526396e-5	****	1.041200818640187	1.273881521895707	-0.23268070325551982	-0.23268070325551982
LF/LF	-8	HF/LF	dist	300	325	-5.029821381977314	4.909369662303368e-7	8.734658133009039e-7	****	0.8786502511522308	0.7238716885706661	0.15477856258156475	0.15477856258156475
LF/LF	-8	HF/HF	dist	153	325	0.9763860803365194	0.32887317680255157	0.32887317680255157	ns	0.6838076389335005	0.7238716885706661	-0.04006404963716559	0
LF/LF	-8	Chow	dist	231	325	8.551101223267274	1.2191964175754834e-17	6.095982087877417e-17	****	0.48343987500801755	0.7238716885706661	-0.24043181356264853	-0.24043181356264853
LF/LF	-8	LF/HF	dist	136	325	-1.7041295026406962	0.08835689597639415	0.09817432886266017	ns	0.7736645675035131	0.7238716885706661	0.04979287893284701	0
LF/LF	0	HF/LF	dist	378	378	-1.8810991425757737	0.059958433627851325	0.08565490518264475	ns	1.147122164904168	1.0993411965298079	0.04778096837436019	0
LF/LF	0	Chow	dist	276	378	6.395505366839442	1.6001722115367162e-10	4.0004305288417907e-10	****	0.8638482052765346	1.0993411965298079	-0.23549299125327328	-0.23549299125327328
LF/LF	0	HF/HF	dist	153	378	6.752626748936741	1.4519212342109779e-11	4.8397374473699264e-11	****	0.7933390856054107	1.0993411965298079	-0.3060021109243972	-0.3060021109243972
LF/LF	0	LF/HF	dist	136	378	-0.1451324480069529	0.8846062996980609	0.8846062996980609	ns	1.0944256171847604	1.0993411965298079	-0.004915579345047494	0
